season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2025,R Parag,Rajasthan Royals,104,58,179.31,8,8,27.59,20,34.48
2014,KK Nair,Rajasthan Royals,154,112,137.5,19,4,20.54,49,43.75
2023,YBK Jaiswal,Rajasthan Royals,292,173,168.79,41,12,30.64,73,42.2
2023,WP Saha,Gujarat Titans,237,153,154.9,32,7,25.49,51,33.33
2017,RV Uthappa,Kolkata Knight Riders,124,93,133.33,16,3,20.43,33,35.48
2022,Q de Kock,Lucknow Super Giants,246,160,153.75,24,12,22.5,57,35.63
2014,CA Lynn,Kolkata Knight Riders,32,25,128.0,3,2,20.0,12,48.0
2020,D Padikkal,Royal Challengers Bangalore,267,197,135.53,36,3,19.8,67,34.01
2017,DA Miller,Kings XI Punjab,6,7,85.71,0,0,0.0,2,28.57
2015,PA Patel,Mumbai Indians,223,157,142.04,33,2,22.29,58,36.94
2019,M Vijay,Chennai Super Kings,43,30,143.33,6,1,23.33,14,46.67
2016,STR Binny,Royal Challengers Bangalore,2,5,40.0,0,0,0.0,3,60.0
2016,BB McCullum,Gujarat Lions,252,174,144.83,29,12,23.56,73,41.95
2013,KV Sharma,Sunrisers Hyderabad,10,14,71.43,1,0,7.14,9,64.29
2015,SR Watson,Rajasthan Royals,161,144,111.81,20,4,16.67,74,51.39
2014,Ankit Sharma,Rajasthan Royals,27,19,142.11,4,1,26.32,10,52.63
2025,Sameer Rizvi,Delhi Capitals,10,16,62.5,2,0,12.5,12,75.0
2020,GJ Maxwell,Kings XI Punjab,6,10,60.0,0,0,0.0,5,50.0
2021,DT Christian,Royal Challengers Bangalore,1,4,25.0,0,0,0.0,3,75.0
2016,KA Pollard,Mumbai Indians,3,13,23.08,0,0,0.0,9,69.23
2020,S Dhawan,Delhi Capitals,258,180,143.33,33,6,21.67,61,33.89
2016,DR Smith,Gujarat Lions,155,103,150.49,17,7,23.3,41,39.81
2013,PC Valthaty,Kings XI Punjab,4,12,33.33,0,0,0.0,8,66.67
2023,PBB Rajapaksa,Punjab Kings,36,27,133.33,3,2,18.52,11,40.74
2025,MP Stoinis,Punjab Kings,15,19,78.95,1,1,10.53,12,63.16
2019,E Lewis,Mumbai Indians,29,32,90.63,3,1,12.5,18,56.25
2022,Anuj Rawat,Royal Challengers Bangalore,83,73,113.7,7,4,15.07,34,46.58
2023,LS Livingstone,Punjab Kings,32,33,96.97,5,0,15.15,18,54.55
2025,RK Singh,Kolkata Knight Riders,4,6,66.67,0,0,0.0,3,50.0
2022,TL Seifert,Delhi Capitals,12,12,100.0,2,0,16.67,8,66.67
2020,AB de Villiers,Royal Challengers Bangalore,45,41,109.76,5,1,14.63,17,41.46
2016,Sachin Baby,Royal Challengers Bangalore,0,3,0.0,0,0,0.0,3,100.0
2025,Urvil Patel,Chennai Super Kings,44,22,200.0,3,4,31.82,9,40.91
2014,Mandeep Singh,Kings XI Punjab,24,24,100.0,2,0,8.33,11,45.83
2021,AR Patel,Delhi Capitals,6,5,120.0,1,0,20.0,2,40.0
2023,DJ Hooda,Lucknow Super Giants,28,36,77.78,1,1,5.56,17,47.22
2022,SN Khan,Delhi Capitals,38,23,165.22,5,2,30.43,11,47.83
2023,Shubman Gill,Gujarat Titans,389,253,153.75,57,6,24.9,85,33.6
2022,RM Patidar,Royal Challengers Bangalore,112,92,121.74,14,3,18.48,41,44.57
2013,CL White,Sunrisers Hyderabad,42,49,85.71,5,0,10.2,23,46.94
