season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2022,Washington Sundar,Sunrisers Hyderabad,0,12,18.5,1,8.33,6,50,0.012693034,0.595341052,0.163612683,0.539524517,-0.33187042,0.234485232,death,Washington Sundar,2022,108830614.4,0.215458889
2022,S Kaul,Royal Challengers Bengaluru,0,6,17,0,0,3,50,0.012693034,0.544901864,0.08842787,0.539524517,-0.334250189,0.232105463,death,S Kaul,2022,9328338.381,2.488175856
2025,MP Stoinis,Punjab Kings,0,9,18.67,0,0,4,44.44,0.019781111,0.609379059,0.088153549,0.496754077,-0.336660115,0.229695537,death,MP Stoinis,2025,115445000,0.198965341
2025,Fazalhaq Farooqi,Rajasthan Royals,0,18,17.67,0,0,9,50,0.019781111,0.57452813,0.088153549,0.55296806,-0.339583938,0.226771714,death,Fazalhaq Farooqi,2025,20990000,1.080379772
2013,DT Christian,Royal Challengers Bengaluru,0,6,24,2,33.33,3,50,0.045987803,0.883094057,0.416215711,0.61844978,-0.34492614,0.221429513,death,DT Christian,2013,12313238.46,1.79830443
2024,Azmatullah Omarzai,Gujarat Titans,0,6,16,0,0,3,50,0.015683699,0.51780538,0,0.567615292,-0.353881191,0.212474462,death,Azmatullah Omarzai,2024,5543983.75,3.832523167
2020,JDS Neesham,Punjab Kings,0,6,18,0,0,3,50,0.030834514,0.600487603,0.04603347,0.581719777,-0.354649163,0.211706489,death,JDS Neesham,2020,6946861.727,3.047512644
2014,MK Tiwary,Delhi Capitals,0,6,17,0,0,2,33.33,0.022463944,0.669836659,0.006282348,0.492609614,-0.380136928,0.186218725,death,MK Tiwary,2014,54236514.74,0.343345669
2016,JD Unadkat,Kolkata Knight Riders,0,6,22,1,16.67,3,50,0.030644981,0.802864153,0.226328058,0.624314285,-0.394574058,0.171781594,death,JD Unadkat,2016,26182182.4,0.656101129
2019,Rasikh Salam,Mumbai Indians,0,6,21,0,0,3,50,0.023256381,0.700985911,0.06370819,0.57633927,-0.399299117,0.167056535,death,Rasikh Salam,2019,2888505.106,5.783494535
2025,A Zampa,Sunrisers Hyderabad,0,6,22,1,16.67,4,66.67,0.019781111,0.72543265,0.245120466,0.721508903,-0.403417924,0.162937728,death,A Zampa,2025,25188000,0.646886328
2014,R Shukla,Delhi Capitals,0,12,21,4,33.33,6,50,0.022463944,0.850509105,0.413718742,0.736995924,-0.403490881,0.162864771,death,R Shukla,2014,7748073.535,2.102003427
2016,DR Smith,Gujarat Titans,0,6,21,0,0,3,50,0.030644981,0.763780462,0.057747468,0.624314285,-0.429514758,0.136840894,death,DR Smith,2016,37636887.2,0.363581858
2025,Mohammed Shami,Sunrisers Hyderabad,0,6,27,0,0,4,66.67,0.019781111,0.899687291,0.088153549,0.721508903,-0.520209856,0.046145797,death,Mohammed Shami,2025,104950000,0.043969315
2022,NM Coulter-Nile,Rajasthan Royals,0,6,25,0,0,5,83.33,0.012693034,0.813910864,0.08842787,0.865116978,-0.539531527,0.026824126,death,NM Coulter-Nile,2022,24875569.02,0.107833214
2018,MP Stoinis,Punjab Kings,0,6,20,0,0,4,66.67,0,0.762375632,0.060667482,0.857547432,-0.544014238,0.022341414,death,MP Stoinis,2018,92525462.11,0.024146234
