season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2018,CH Gayle,Punjab Kings,104,72,144.44,2,10,16.67,25,34.72,0.19800660226067693,0.31577182178917806,0.30514503249265557,0.5603068268306578,0.20210446947769448,0.28182973257968774,middle,CH Gayle,2018,29846923.259999998,0.9442505350539363
2018,AJ Finch,Punjab Kings,94,67,140.3,3,6,13.43,15,22.39,0.17958342148665812,0.29652403320801823,0.24561885793301086,0.30668091227125077,0.220411536284084,0.3001367993860773,middle,AJ Finch,2018,92525462.10599999,0.32438292395906265
2025,AK Markram,Lucknow Super Giants,146,100,146.0,6,9,15.0,25,25.0,0.2762625874677208,0.2557794998212566,0.21428870697476643,0.4132873200359164,0.25794419730832363,0.33766946041031687,middle,AK Markram,2025,20990000.000000004,1.6087158666522954
2023,PD Salt,Delhi Capitals,66,41,160.98,6,3,21.95,9,21.95,0.1266610411310694,0.37790855695616576,0.3929536067181313,0.2990587107595576,0.23348037918342004,0.3132056422854133,middle,PD Salt,2023,23661722.645999998,1.3236806422391254
2018,V Shankar,Delhi Capitals,100,84,119.05,7,3,11.9,25,29.76,0.1906373299510694,0.1977280169399873,0.21750927550206758,0.45828050596977715,0.16367402294930977,0.24339928605130304,middle,V Shankar,2018,47755077.216,0.5096825306142607
2022,KD Karthik,Royal Challengers Bengaluru,88,68,129.41,8,3,16.18,23,33.82,0.1692035900513777,0.2614111952468275,0.289252263221615,0.5068064229687187,0.1702753986657297,0.25000066176772295,middle,KD Karthik,2022,68407814.794,0.36545628963673654
2015,RS Bopara,Sunrisers Hyderabad,86,72,119.44,3,4,9.72,23,31.94,0.15467366260176182,0.2152878699456693,0.1744375722209699,0.4781561806506028,0.12758156937918366,0.20730683248117693,middle,RS Bopara,2015,17455333.726999998,1.1876417588081611
2025,PD Salt,Royal Challengers Bengaluru,66,33,200.0,5,5,30.3,8,24.24,0.1262651963048459,0.4829147241321899,0.47791264607228123,0.3983191549918563,0.2618052724996187,0.34153053560161195,middle,PD Salt,2025,120692500.00000001,0.2829757736409569
2025,A Raghuvanshi,Kolkata Knight Riders,161,126,127.78,14,3,13.49,29,23.02,0.3043870983107599,0.17914239265560464,0.18827091952135158,0.3742913111053387,0.26004831812849194,0.3397735812304852,middle,A Raghuvanshi,2025,31485000.000000004,1.0791601754184061
2021,VR Iyer,Kolkata Knight Riders,128,98,130.61,10,6,16.33,32,32.65,0.2895343614748125,0.2892428150173288,0.3312951720688455,0.4871581142320988,0.28722774525239797,0.36695300835439126,middle,VR Iyer,2021,2652233.1686,13.835623982792207
2014,DR Smith,Chennai Super Kings,189,122,154.92,10,15,20.49,41,33.61,0.35921390130576525,0.41064914955058746,0.4200928614143501,0.5249220565564052,0.3896000268813774,0.46932528998337064,middle,DR Smith,2014,87165827.2665,0.5384280797891814
2017,MK Tiwary,Lucknow Super Giants,122,101,120.79,10,3,12.87,29,28.71,0.25257806757246093,0.23915348521712976,0.25735382994225786,0.44377755509397043,0.23652375459276515,0.31624901769475844,middle,MK Tiwary,2017,7799001.048,4.054993912019774
2025,V Shankar,Chennai Super Kings,63,52,121.15,4,1,9.62,13,25.0,0.12064029413623807,0.15125523455965117,0.12158957022021544,0.4132873200359164,0.08354925571374562,0.1632745188157389,middle,V Shankar,2025,12594000.000000002,1.296446870063037
2025,SM Curran,Chennai Super Kings,78,44,177.27,8,3,25.0,9,20.45,0.14876480497927713,0.38730761952871745,0.3865919351430767,0.32367527931160905,0.24778746100833043,0.3275127241103237,middle,SM Curran,2025,25188000.000000004,1.3002728446495302
2016,KP Pietersen,Lucknow Super Giants,42,37,113.51,1,2,8.11,12,32.43,0.08665318605982655,0.20460876261065677,0.171605220536865,0.5177029048167793,0.0614856407750754,0.14121090387706867,middle,KP Pietersen,2016,57273523.99649999,0.24655529121221545
2025,JC Buttler,Gujarat Titans,333,205,162.44,33,13,22.44,49,23.9,0.626881489310941,0.3249295570003629,0.3424823087319893,0.39162287063003987,0.5891559461692516,0.6688812092712448,middle,JC Buttler,2025,165296250.00000003,0.4046560096016968
2014,PA Patel,Royal Challengers Bengaluru,48,42,114.29,5,0,11.9,10,23.81,0.0658356833095965,0.2086864825874785,0.24159583343655483,0.29117483357104834,0.10535869139702206,0.18508395449901532,middle,PA Patel,2014,27118257.371799998,0.6825068143629401
2023,AM Rahane,Chennai Super Kings,150,104,144.23,8,6,13.46,22,21.15,0.2894936511971986,0.2973381884624044,0.22142784214039687,0.28106734184753446,0.30886847755505265,0.3885937406570459,middle,AM Rahane,2023,5915430.661499999,6.569153843458435
2022,JM Sharma,Punjab Kings,157,104,150.96,14,8,21.15,39,37.5,0.31511381154801965,0.332616799594635,0.3620405642977572,0.5766320785694445,0.3089577862624688,0.3886830493644621,middle,JM Sharma,2022,2487556.9016,15.625091796471494
2025,D Padikkal,Royal Challengers Bengaluru,141,97,145.36,12,7,19.59,29,29.9,0.26688775052004116,0.2530875267923863,0.29337588870402087,0.5097925946620935,0.2461531172621343,0.32587838036412753,middle,D Padikkal,2025,20990000.000000004,1.5525411165513459
2014,RG Sharma,Mumbai Indians,231,194,119.07,18,6,12.37,63,32.47,0.4466031577301559,0.2324467963478442,0.251362259880043,0.49773105306627186,0.37774280645123226,0.4574680695532255,middle,RG Sharma,2014,36803349.2903,1.2430066240568958
2018,DA Miller,Punjab Kings,46,42,109.52,1,1,4.76,10,23.81,0.09115215377136762,0.15342090940895978,0.08633122415766549,0.33589006058222876,0.06903622855486938,0.14876149165686264,middle,DA Miller,2018,44770384.88999999,0.3322765529542953
2025,KK Nair,Delhi Capitals,83,45,184.44,10,4,31.11,11,24.44,0.15813964192695681,0.41746612986778026,0.4918692075539144,0.4022581457929248,0.26967376485409744,0.3493990279560907,middle,KK Nair,2025,5247500.000000001,6.658390242136076
2014,KL Rahul,Sunrisers Hyderabad,91,98,92.86,6,1,7.14,33,33.67,0.1553056363155203,0.1021627328208177,0.1426847911578231,0.5263531620032544,0.0781596547295753,0.15788491783156855,middle,KL Rahul,2014,19370183.836999997,0.8150925110477494
2022,Ishan Kishan,Mumbai Indians,126,101,124.75,7,5,11.88,25,24.75,0.24955994391909356,0.246013602844935,0.22627646953400704,0.33470895114845145,0.25176553966586646,0.3314908027678597,middle,Ishan Kishan,2022,189676213.747,0.17476667011606387
2022,M Shahrukh Khan,Punjab Kings,68,78,87.18,1,5,7.69,40,51.28,0.1269107722262641,0.1218746443601496,0.16491168452212857,0.8380987998134669,0.0034535880307884903,0.08317885113278176,middle,M Shahrukh Khan,2022,2487556.9016,3.343796922968114
2016,SW Billings,Delhi Capitals,78,54,144.44,4,3,12.96,10,18.52,0.16353814203970843,0.3310151269879022,0.25709082689796714,0.2491779458984804,0.23171762792803477,0.31144289103002804,middle,SW Billings,2016,4909159.1997,6.344118786146931
2018,KH Pandya,Mumbai Indians,120,91,131.87,13,4,18.68,35,38.46,0.22748369149910713,0.2573310724014535,0.3420733074509536,0.6372379639314025,0.20015334362363194,0.2798786067256252,middle,KH Pandya,2018,131326462.344,0.2131166877795762
2018,RA Tripathi,Rajasthan Royals,107,87,122.99,8,2,11.49,26,29.89,0.2035335564928826,0.21604596066215395,0.20997664230161872,0.4609545829278245,0.1774450452677111,0.25717030836970434,middle,RA Tripathi,2018,50739769.541999996,0.5068416957566804
2014,SA Yadav,Kolkata Knight Riders,62,46,134.78,4,2,13.04,13,28.26,0.09496543545106008,0.31053770203306313,0.2652846124696964,0.3973151542123584,0.14272755062223458,0.22245281372422784,middle,SA Yadav,2014,13559128.685899999,1.6406128953961052
