season,player,team,phase,adj_price,ROI_z,impact_score_pos
2021,M Jansen,Mumbai Indians,bowl_mid,2652233.169,0.439782815,1.173147374
2022,Simarjeet Singh,Chennai Super Kings,bowl_mid,2487556.902,0.433429269,1.084410903
2022,Simarjeet Singh,Chennai Super Kings,bowl_mid,2487556.902,0.433429269,1.084410903
2015,J Suchith,Mumbai Indians,bowl_pp,1745533.373,0.425709792,0.754703816
2024,S Gopal,Mumbai Indians,bowl_mid,2217593.5,0.422690271,0.942772288
2024,Abhishek Sharma,Sunrisers Hyderabad,bat_mid,2217593.5,0.420668148,0.380514537
2024,Arshdeep Singh,Punjab Kings,bowl_mid,2217593.5,0.420606685,0.938125039
2022,A Badoni,Lucknow Super Giants,bowl_mid,2487556.902,0.418527788,1.0471284
2022,Arshdeep Singh,Punjab Kings,bowl_mid,2487556.902,0.417555247,1.044695168
2022,Arshdeep Singh,Punjab Kings,bowl_mid,2487556.902,0.417555247,1.044695168
2022,PJ Sangwan,Gujarat Titans,bowl_mid,2487556.902,0.417219988,1.043856371
2021,KS Bharat,Royal Challengers Bengaluru,bat_death,2652233.169,0.413232115,0.573878556
2023,Tilak Varma,Mumbai Indians,bat_mid,2366172.265,0.412988377,0.398596859
2022,AR Patel,Delhi Capitals,bowl_mid,2487556.902,0.409065405,1.023454152
2023,Arshdeep Singh,Punjab Kings,bowl_death,7098516.794,0.407379404,1.089060265
2024,Arshad Khan,Lucknow Super Giants,bat_death,2217593.5,0.405030249,0.470371397
2014,A Mishra,Sunrisers Hyderabad,bowl_pp,1937018.384,0.399112428,0.785170084
2014,A Mishra,Sunrisers Hyderabad,bowl_pp,1937018.384,0.399112428,0.785170084
2023,Tilak Varma,Mumbai Indians,bowl_mid,2366172.265,0.394260455,0.938279429
2014,R Tewatia,Rajasthan Royals,bowl_pp,1937018.384,0.3914718,0.770138748
2016,S Ladda,Gujarat Titans,bowl_pp,1636386.4,0.390159369,0.64842933
2022,Mukesh Choudhary,Chennai Super Kings,bowl_mid,2487556.902,0.38721233,0.968779228
2021,VR Iyer,Kolkata Knight Riders,bat_pp,2652233.169,0.385991984,0.780405273
2016,DL Chahar,Lucknow Super Giants,bowl_pp,1636386.4,0.384921758,0.639724629
2022,JM Sharma,Punjab Kings,bat_mid,2487556.902,0.383065372,0.388683049
2025,Abhishek Sharma,Sunrisers Hyderabad,bat_mid,3148500,0.382617254,0.491380515
2025,V Puthur,Mumbai Indians,bowl_mid,3148500,0.37972741,1.202481106
2022,Tilak Varma,Mumbai Indians,bat_death,2487556.902,0.378416534,0.493193703
2014,YV Takawale,Royal Challengers Bengaluru,bat_pp,1937018.384,0.378313901,0.558674569
2024,A Kamboj,Mumbai Indians,bowl_mid,2217593.5,0.376476019,0.839695592
2022,AR Patel,Delhi Capitals,bowl_pp,2487556.902,0.37645008,0.951075879
2014,S Gopal,Mumbai Indians,bowl_pp,1937018.384,0.376285889,0.74026365
2022,Akash Deep,Royal Challengers Bengaluru,bowl_mid,2487556.902,0.371427188,0.929285863
2020,Abdul Samad,Sunrisers Hyderabad,bat_death,2778744.691,0.371236576,0.54054705
2018,Shakib Al Hasan,Sunrisers Hyderabad,bowl_pp,2984692.326,0.370859752,1.124201142
2022,OC McCoy,Rajasthan Royals,bowl_death,9328338.381,0.367426592,1.291024321
2025,Arshdeep Singh,Punjab Kings,bowl_pp,3148500,0.366856467,1.173098897
2025,Arshdeep Singh,Punjab Kings,bowl_pp,3148500,0.366856467,1.173098897
2025,Ashwani Kumar,Mumbai Indians,bowl_mid,3148500,0.364175471,1.153232849
2017,RA Tripathi,Lucknow Super Giants,bat_mid,1559800.21,0.363186152,0.231072327
2017,RD Chahar,Lucknow Super Giants,bowl_pp,1559800.21,0.362232073,0.573839745
2013,B Laughlin,Chennai Super Kings,bowl_mid,2462647.692,0.36132873,0.894967774
2023,Sandeep Sharma,Rajasthan Royals,bowl_pp,2366172.265,0.360049643,0.865253758
2023,Sandeep Sharma,Rajasthan Royals,bowl_mid,2366172.265,0.358323817,0.852755741
2014,PV Tambe,Rajasthan Royals,bowl_pp,1937018.384,0.354521994,0.697447746
2022,Simarjeet Singh,Chennai Super Kings,bowl_pp,2487556.902,0.354346239,0.895232006
2022,Simarjeet Singh,Chennai Super Kings,bowl_pp,2487556.902,0.354346239,0.895232006
2025,M Shahrukh Khan,Gujarat Titans,bat_death,3148500,0.354045762,0.584318905
2022,AS Roy,Kolkata Knight Riders,bowl_mid,2487556.902,0.352901195,0.882935073
2014,Sandeep Sharma,Punjab Kings,bowl_mid,1937018.384,0.352487994,0.686721569
2021,VR Iyer,Kolkata Knight Riders,bowl_mid,2652233.169,0.351705316,0.938195296
2018,S Lamichhane,Delhi Capitals,bowl_mid,2984692.326,0.351644626,1.055616502
2024,Naman Dhir,Mumbai Indians,bat_mid,2217593.5,0.350951556,0.317452532
2024,A Raghuvanshi,Kolkata Knight Riders,bat_pp,2217593.5,0.350607819,0.592987861
2024,Simarjeet Singh,Chennai Super Kings,bowl_pp,2217593.5,0.349321741,0.786760062
2024,Simarjeet Singh,Chennai Super Kings,bowl_pp,2217593.5,0.349321741,0.786760062
2022,Arshdeep Singh,Punjab Kings,bowl_pp,2487556.902,0.34808028,0.879401482
2022,Arshdeep Singh,Punjab Kings,bowl_pp,2487556.902,0.34808028,0.879401482
2019,M Ashwin,Punjab Kings,bowl_pp,2888505.106,0.346731456,1.017187777
2014,YS Chahal,Royal Challengers Bengaluru,bowl_pp,1937018.384,0.346415796,0.681500499
2015,HH Pandya,Mumbai Indians,bowl_pp,1745533.373,0.344509793,0.61075141
2017,RA Tripathi,Lucknow Super Giants,bowl_mid,1559800.21,0.341047416,0.535040127
2023,R Goyal,Mumbai Indians,bowl_mid,2366172.265,0.340674543,0.810753174
2022,HR Shokeen,Mumbai Indians,bowl_mid,2487556.902,0.33951636,0.849447118
2021,VR Iyer,Kolkata Knight Riders,bat_mid,2652233.169,0.339194708,0.366953008
2016,P Sahu,Punjab Kings,bowl_pp,1636386.4,0.338961975,0.5633413
2023,AM Rahane,Chennai Super Kings,bat_death,5915430.661,0.338853249,1.051072561
2021,Arshdeep Singh,Punjab Kings,bowl_mid,2652233.169,0.336496326,0.897624391
2022,DG Nalkande,Gujarat Titans,bowl_mid,2487556.902,0.336315497,0.841438772
2024,A Raghuvanshi,Kolkata Knight Riders,bat_mid,2217593.5,0.336271646,0.304173849
2018,M Markande,Mumbai Indians,bowl_pp,2984692.326,0.335622232,1.017384319
2020,Arshdeep Singh,Punjab Kings,bowl_pp,2778744.691,0.332538932,0.938481884
2022,SN Khan,Delhi Capitals,bat_pp,2487556.902,0.331357524,0.628849125
2013,JO Holder,Chennai Super Kings,bowl_mid,2462647.692,0.329364804,0.815796975
2015,RG Sharma,Mumbai Indians,bat_mid,5236600.118,0.325920841,0.696163463
2025,MA Starc,Delhi Capitals,bowl_pp,3148500,0.322961155,1.032734622
2020,Shahbaz Ahmed,Royal Challengers Bengaluru,bowl_mid,2778744.691,0.321877446,0.899584178
2016,PV Tambe,Gujarat Titans,bowl_mid,3272772.8,0.321775536,1.059184207
2024,Naman Dhir,Mumbai Indians,bowl_pp,2217593.5,0.321313173,0.723677751
2025,Prince Yadav,Lucknow Super Giants,bowl_mid,3148500,0.317745889,1.006204497
2022,Rasikh Salam,Kolkata Knight Riders,bowl_mid,2487556.902,0.315530173,0.78943529
2025,Aniket Verma,Sunrisers Hyderabad,bat_death,3148500,0.31245875,0.51620469
2025,JD Unadkat,Sunrisers Hyderabad,bowl_death,10495000,0.310752892,1.228839989
2025,Arshdeep Singh,Punjab Kings,bowl_mid,3148500,0.310118728,0.982051601
2025,Arshdeep Singh,Punjab Kings,bowl_mid,3148500,0.310118728,0.982051601
2018,L Ngidi,Chennai Super Kings,bowl_death,7461730.815,0.309863345,0.871184354
2025,MA Starc,Delhi Capitals,bowl_mid,3148500,0.309295295,0.979444038
2022,HR Shokeen,Mumbai Indians,bowl_pp,2487556.902,0.307040516,0.77571727
2022,Kuldeep Yadav,Delhi Capitals,bowl_pp,2487556.902,0.306602592,0.774610884
2021,RV Patel,Delhi Capitals,bowl_mid,2652233.169,0.306196899,0.816798829
2014,P Negi,Chennai Super Kings,bowl_mid,1937018.384,0.30434267,0.59292424
