season,team,ROI_bat_pp,ROI_bat_mid,ROI_bat_death,ROI_bowl_pp,ROI_bowl_mid,ROI_bowl_death,batting_ROI,bowling_ROI,overall_ROI
2013,Mumbai Indians,0.6853431198855101,,,7.449987382471399,7.2447984730370125,8.915485790489582,0.6853431198855101,7.870090548665996,4.277716834275753
2014,Chennai Super Kings,1.225855116914822,0.447890346654643,5.151905099381703,7.6038651956626575,9.420695166948686,7.919076048281231,2.275216854317056,8.314545470297524,5.2948811623072904
2014,Delhi Capitals,0.7157547328821512,0.39685526965787565,2.0070200924922004,3.614416659535004,3.915812686146891,2.1483263700289665,1.0398766983440757,3.2261852385702867,2.1330309684571813
2014,Kolkata Knight Riders,1.1656954622776297,0.7901892544865524,2.222159016546131,2.6539604116436997,2.982428126587602,1.799359896541992,1.3926812444367709,2.4785828115910977,1.9356320280139343
2014,Mumbai Indians,4.027653899673703,0.6855170326958177,5.1839336202256385,7.851394510791097,19.38629836814096,4.009088353566468,3.2990348508650533,10.415593744166175,6.8573142975156145
2014,Punjab Kings,1.498194969817441,0.6604570976464716,1.1155568779198644,17.928700313131294,8.630577179555983,7.6731540873472595,1.0914029817945925,11.410810526678178,6.251106754236385
2014,Rajasthan Royals,5.9079431250192735,1.516596709707114,1.5387230515996717,12.833592021158324,21.640186494554772,7.125766374894292,2.98775429544202,13.866514963535794,8.427134629488908
2014,Royal Challengers Bengaluru,15.423542253478365,0.42623374193195324,4.350078572224721,8.40369239730912,17.931256926173194,2.909266575220541,6.733284855878346,9.748071966234285,8.240678411056315
2014,Sunrisers Hyderabad,2.115373258482033,0.904247058471018,1.8693079995072697,8.608849520964503,11.381962487734965,6.766545366471384,1.6296427721534403,8.91911912505695,5.274380948605195
2015,Chennai Super Kings,1.2442418457070192,0.7849710919745562,,,,,1.0146064688407876,,1.0146064688407876
2015,Delhi Capitals,0.1475143201350665,0.0708676350660687,0.37509412345117504,2.142949985223353,2.2596659518523987,1.951166282252423,0.19782535955077007,2.1179274064427247,1.1578763829967473
2015,Mumbai Indians,13.574420577766688,13.294187975595234,32.29490319841289,25.84051650532385,38.54543734115044,23.311330508099456,19.721170583924938,29.23242811819125,24.476799351058094
2015,Punjab Kings,1.3554743000010736,0.1739430419072963,,1.2544042664411792,1.4576618946574251,,0.7647086709541849,1.3560330805493022,1.0603708757517436
2016,Delhi Capitals,1.0062034192034612,1.7653107723450376,0.8486766958651896,15.149657279591707,26.019318769503908,12.838741131876835,1.2067302958045627,18.002572393657484,9.604651344731023
2016,Gujarat Titans,2.310770587969291,1.8490592913667692,2.093350028444087,13.440068945733845,15.34195440680728,5.489100620955993,2.0843933025933823,11.423707991165706,6.754050646879544
2016,Lucknow Super Giants,0.901826147949136,0.7384240870934862,5.018229058339141,9.853148082596224,12.64714951932531,6.133353108861484,2.219493097793921,9.544550236927673,5.882021667360797
2016,Punjab Kings,6.738658282286115,2.5681877596593625,7.112945053664512,23.552720694022945,25.131742572157048,36.988153459202564,5.473263698536663,28.557538908460852,17.01540130349876
2017,Gujarat Titans,3.841923274966816,,1.7451191809319753,8.588141907228316,20.43627450287291,7.231438445422909,2.7935212279493955,12.085284951841379,7.439403089895388
2017,Lucknow Super Giants,26.721264751929812,6.3796673644267266,5.896860994490452,14.874974256257257,23.629992032355148,20.218388699111998,12.999264370282331,19.574451662574802,16.286858016428567
2018,Chennai Super Kings,1.6326033461677252,1.3286008107970737,2.8735580801981393,8.525245916636647,8.798973790265396,6.713443580275519,1.9449207457209792,8.012554429059188,4.978737587390084
2018,Delhi Capitals,2.710829990146452,1.2000887016070088,13.152080512181922,8.224362998195101,10.072402233776556,7.788933538649816,5.687666401311795,8.69523292354049,7.191449662426142
2018,Kolkata Knight Riders,0.8116131390510191,0.6127642636227041,1.277893766841413,3.020767544175169,4.887211744010303,1.1664625548015595,0.9007570565050452,3.0248139476623437,1.9627855020836944
2018,Mumbai Indians,1.2825579960005393,0.5057043754986872,1.1575648648382073,7.5836705682175385,13.579667782056566,9.140541805628315,0.9819424121124779,10.101293385300806,5.541617898706642
2018,Punjab Kings,4.491961385617844,1.3677644456388314,0.5666887960448014,1.7292066193224185,2.2229853683239047,1.0320828019279824,2.142138209100492,1.6614249298581019,1.901781569479297
2018,Rajasthan Royals,0.9482685353705044,0.44706350565236547,2.4047042127683707,6.428429508281766,11.49086863387143,3.0736036984106843,1.2666787512637467,6.997633946854627,4.132156349059187
2018,Royal Challengers Bengaluru,2.490327178221401,2.3057024470314866,7.664385116363645,2.483604203509619,3.287732296150557,1.6819263557682704,4.153471580538844,2.4844209518094824,3.318946266174163
2018,Sunrisers Hyderabad,4.671338438215908,3.8575643407879205,3.9618029997805797,6.210620203923826,7.333778041638652,4.155825637471324,4.1635685929281365,5.900074627677934,5.0318216103030355
2019,Punjab Kings,10.28650129616242,3.5433825145683757,7.045069576835679,9.673147918091928,9.583084039162278,9.413933171947578,6.958317795855492,9.556721709733928,8.25751975279471
2019,Rajasthan Royals,9.467073644137216,5.98675856296429,23.126737163454457,8.950885554376285,10.216792381972043,0.814176993554159,12.860189790185322,6.660618309967496,9.760404050076408
2019,Royal Challengers Bengaluru,0.5975298845200975,0.1168562779091979,,2.8647836610531234,1.9063161060421403,,0.3571930812146477,2.3855498835476316,1.3713714823811396
2019,Sunrisers Hyderabad,3.6339280144270543,1.9585175225959983,,,,,2.796222768511526,,2.796222768511526
2020,Chennai Super Kings,0.7134436537846414,0.2822362191321431,0.6902870923697587,2.1625905520693096,2.0988864757806325,1.5013262935648912,0.5619889884288477,1.920934440471611,1.2414617144502293
2020,Delhi Capitals,1.0130899587172804,0.5189250633754814,0.8383256021930475,10.54069057893083,13.93983618827886,11.126299855876196,0.7901135414286031,11.868942207695296,6.32952787456195
2020,Kolkata Knight Riders,3.9421196360016633,0.8851298681405447,2.803239528439217,7.649262069455844,1.9156623094375642,0.6931203924319213,2.5434963441938083,3.4193482571084437,2.981422300651126
2020,Mumbai Indians,35.98993583763148,21.84687606180497,14.10718496847347,0.7141047002500315,1.023450156319134,0.555247373372297,23.981332289303307,0.7642674099804876,12.372799849641897
