season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2024,A Raghuvanshi,Kolkata Knight Riders,82,55,149.09,10,3,23.64,19,34.55,0.1534971288865683,0.39422356047618623,0.4193407315217728,0.3802376544038949,0.39454151621097705,0.5929878611166342,powerplay,A Raghuvanshi,2024,2217593.5,26.74015148027058
2014,YV Takawale,Royal Challengers Bengaluru,77,67,114.93,15,0,22.39,36,53.73,0.14102340349814457,0.3764649443444546,0.5663540503093302,0.6522743115856658,0.3602282241342417,0.5586745690398989,powerplay,YV Takawale,2014,1937018.3837,28.841985896527497
2014,AJ Finch,Sunrisers Hyderabad,118,109,108.26,15,2,15.6,47,43.12,0.26701221434524713,0.3346550635033646,0.36412947518321614,0.42414405782314796,0.4175523497133829,0.61599869461904,powerplay,AJ Finch,2014,77480735.34799999,0.7950346519716411
2017,JJ Roy,Gujarat Titans,35,23,152.17,6,0,26.09,8,34.78,0.026779384165204347,0.4888797863389034,0.5527566500028015,0.3792898831749899,0.40081692805037883,0.5992632729560359,powerplay,JJ Roy,2017,15598002.096,3.841923274966816
2014,Q de Kock,Delhi Capitals,98,85,115.29,11,4,17.65,45,52.94,0.2055542578344654,0.3787215496072421,0.42518402290170415,0.6352881758201249,0.3545505386309228,0.5529968835365799,powerplay,Q de Kock,2014,67795643.4295,0.8156820343649895
2018,CA Lynn,Kolkata Knight Riders,246,177,138.98,32,10,23.73,78,44.07,0.5559175960760235,0.414084114375557,0.4862335681604103,0.5518367796398401,0.7050302058288299,0.9034765507344871,powerplay,CA Lynn,2018,143265231.648,0.630632108252414
2016,MP Stoinis,Punjab Kings,45,32,140.63,5,1,18.75,9,28.13,0.06696098985728524,0.4646393274854862,0.4138113665593033,0.21354077772352598,0.40804133726319997,0.6064876821688571,powerplay,MP Stoinis,2016,9000125.19945,6.738658282286115
2020,MP Stoinis,Delhi Capitals,69,48,143.75,8,3,22.92,19,39.58,0.10672753963512396,0.5219439479703742,0.5579715673158085,0.4008638445282048,0.4771820576269387,0.6756284025325958,powerplay,MP Stoinis,2020,66689872.5744,1.0130899587172804
2014,KK Nair,Rajasthan Royals,154,112,137.5,19,4,20.54,49,43.75,0.37763653606465436,0.5179415576253241,0.5112560438316702,0.43768996356022494,0.6598382383205698,0.8582845832262269,powerplay,KK Nair,2014,14527637.87775,5.9079431250192735
2022,Q de Kock,Lucknow Super Giants,246,160,153.75,24,12,22.5,57,35.63,0.6155123813593969,0.5171443292097064,0.47893308470460255,0.30760555609915896,0.8742202909796942,1.0726666358853514,powerplay,Q de Kock,2022,83955045.429,1.2776678642768355
2014,CA Lynn,Kolkata Knight Riders,32,25,128.0,3,2,20.0,12,48.0,0.0027430013488855833,0.45839225207954387,0.4951733824814344,0.5290710736912995,0.295497227128136,0.4939435720337931,powerplay,CA Lynn,2014,25181238.9881,1.9615538864756334
2017,BA Stokes,Lucknow Super Giants,33,28,117.86,3,1,14.29,11,39.29,0.021317824386936426,0.30411295242412667,0.2897977840875488,0.4836496750002352,0.15442483606093887,0.352871180966596,powerplay,BA Stokes,2017,226171030.39200002,0.1560196194689475
2015,Yuvraj Singh,Delhi Capitals,32,27,118.52,6,0,22.22,14,51.85,0.03638770988882047,0.33980652899729846,0.4784041901029337,0.6691859762220888,0.2135395250893992,0.41198586999505626,powerplay,Yuvraj Singh,2015,279285339.63199997,0.14751432013506655
2018,KL Rahul,Punjab Kings,316,198,159.6,37,15,26.26,72,36.36,0.7281988902449631,0.512796843048769,0.540124608450858,0.39118893619303136,0.9646569266653318,1.1631032715709888,powerplay,KL Rahul,2018,164158077.92999998,0.7085263705798002
2022,SN Khan,Delhi Capitals,38,23,165.22,5,2,30.43,11,47.83,0.020039937997747802,0.5770475471452899,0.6661568749880858,0.5797451248394754,0.4304027802636392,0.6288491251692963,powerplay,SN Khan,2022,2487556.9016,25.2797885654322
2022,SN Khan,Delhi Capitals,38,23,165.22,5,2,30.43,11,47.83,0.020039937997747802,0.5770475471452899,0.6661568749880858,0.5797451248394754,0.4304027802636392,0.6288491251692963,powerplay,SN Khan,2022,111940060.572,0.5617730792318266
2025,Naman Dhir,Mumbai Indians,40,19,210.53,3,3,31.58,3,15.79,0.07765577943458336,0.6411395514589155,0.5583647228656229,0.0,0.6339585245666548,0.8324048694723118,powerplay,Naman Dhir,2025,55098750.00000001,1.5107509144441784
2018,CH Gayle,Punjab Kings,239,148,161.49,28,15,29.05,68,45.95,0.5386894666591296,0.5218447119717745,0.5995538584154229,0.5910090164336145,0.784370460670047,0.9828168055757041,powerplay,CH Gayle,2018,29846923.259999998,3.2928580176062816
