season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2014,B Kumar,Sunrisers Hyderabad,4,44,7.36,16,36.36,7,15.91,0.2306653096062412,0.27246276474729336,0.4711119167574939,0.23297587944641965,0.22276615174949135,1.1507712403470087,middle,B Kumar,2014,82323281.30725,1.3978685276793787
2014,BCJ Cutting,Rajasthan Royals,1,12,7.0,7,58.33,3,25.0,0.07691263285344656,0.25746840274221167,0.7184968685534026,0.3563986236735482,0.05366356291771163,0.9816686515152289,middle,BCJ Cutting,2014,15496147.0696,6.334920849073798
2014,BE Hendricks,Punjab Kings,0,6,8.0,1,16.67,0,0.0,0.025661740602515005,0.2991194083118831,0.24940005053712788,0.016952132399817323,-0.12937332706455906,0.7986317615329582,middle,BE Hendricks,2014,34866330.9066,2.290552922452135
2014,BW Hilfenhaus,Chennai Super Kings,2,24,12.5,7,29.17,7,29.17,0.12816352510437812,0.4865489333754047,0.39015161619251515,0.4130182984180066,-0.16255203386960337,0.7654530547279139,middle,BW Hilfenhaus,2014,19370183.836999997,3.951707744073044
2014,CJ Anderson,Mumbai Indians,0,30,9.8,4,13.33,6,20.0,0.025661740602515005,0.37409121833729175,0.21179123219400842,0.28850932541880203,-0.25494485919161886,0.6730602294058985,middle,CJ Anderson,2014,87165827.2665,0.7721606626276721
2014,DJG Sammy,Sunrisers Hyderabad,2,66,11.91,15,22.73,18,27.27,0.12816352510437812,0.4619748400892985,0.3176364095668596,0.38722036508120294,-0.15948773456105436,0.7685173540364629,middle,DJG Sammy,2014,67795643.4295,1.1335792613807647
2014,DR Smith,Chennai Super Kings,4,54,10.22,13,24.07,12,22.22,0.2306653096062412,0.39158464067655374,0.33272497740511714,0.31865217384390937,0.06881731032087207,0.9968223989183893,middle,DR Smith,2014,87165827.2665,1.1435931146167106
2014,DS Kulkarni,Rajasthan Royals,1,36,9.0,9,25.0,7,19.44,0.07691263285344656,0.34077041388155455,0.34319689388987795,0.2809057240142705,-0.11046945846096452,0.8175356301365527,middle,DS Kulkarni,2014,21307202.2207,3.8368980669940553
2014,HV Patel,Royal Challengers Bengaluru,1,36,10.5,11,30.56,9,25.0,0.07691263285344656,0.4032469222360618,0.40580319029339423,0.3563986236735482,-0.15676735615537102,0.7712377324421462,middle,HV Patel,2014,7748073.5348,9.953928921533578
2014,I Sharma,Sunrisers Hyderabad,1,42,9.43,15,35.71,8,19.05,0.07691263285344656,0.3586803462765133,0.4637928353434138,0.2756103587504003,-0.08755954888809676,0.8404455397094205,middle,I Sharma,2014,50362477.9762,1.668793064762606
2014,IC Pandey,Chennai Super Kings,2,72,7.42,25,34.72,12,16.67,0.12816352510437812,0.27496182508147365,0.4526453113435071,0.2432950527811411,0.059410410438212165,0.9874154990357294,middle,IC Pandey,2014,29055275.7555,3.398403468426271
2014,IK Pathan,Sunrisers Hyderabad,1,84,8.79,23,27.38,15,17.86,0.07691263285344656,0.33202370271192355,0.3699959919906637,0.2594527057657706,-0.09114175644532403,0.8368633321521932,middle,IK Pathan,2014,46488441.208799995,1.800153565901409
2014,Iqbal Abdulla,Rajasthan Royals,0,6,9.0,1,16.67,1,16.67,0.025661740602515005,0.34077041388155455,0.24940005053712788,0.2432950527811411,-0.207962715596561,0.7200423730009563,middle,Iqbal Abdulla,2014,12590619.49405,5.7188796257501835
2014,JD Unadkat,Delhi Capitals,3,54,7.44,16,29.63,7,12.96,0.17941441735530966,0.27579484519286707,0.39533127380863337,0.1929211934761194,0.12850089332603698,1.0565059819235543,middle,JD Unadkat,2014,54236514.743599996,1.9479606809510632
2014,JDS Neesham,Delhi Capitals,1,36,9.33,10,27.78,7,19.44,0.07691263285344656,0.3545152457195462,0.37450004209163607,0.2809057240142705,-0.11207437947083042,0.8159307091266869,middle,JDS Neesham,2014,19370183.836999997,4.212302350833321
2014,JH Kallis,Kolkata Knight Riders,2,84,8.86,21,25.0,16,19.05,0.12816352510437812,0.33493927310180055,0.34319689388987795,0.2756103587504003,-0.027869134407989937,0.9001359541895273,middle,JH Kallis,2014,106536011.1035,0.8449123867750624
2014,JJ Bumrah,Mumbai Indians,2,54,7.56,21,38.89,9,16.67,0.12816352510437812,0.2807929658612276,0.4996000336461443,0.2432950527811411,0.06883191450520013,0.9968370031027174,middle,JJ Bumrah,2014,23244220.604399998,4.288537009126569
2014,JO Holder,Sunrisers Hyderabad,0,6,14.0,0,0.0,2,33.33,0.025661740602515005,0.549025441729912,0.061693762579103396,0.4695021945659553,-0.4761200526196171,0.4518850359779002,middle,JO Holder,2014,14527637.87775,3.110519685171881
2014,JP Duminy,Delhi Capitals,3,120,7.5,31,25.83,13,10.83,0.17941441735530966,0.2782939055270474,0.35254279784939563,0.16400035241959754,0.11944927048222578,1.0474543590797432,middle,JP Duminy,2014,42614404.4414,2.4579819260882094
2014,JW Hastings,Chennai Super Kings,1,6,3.0,4,66.67,0,0.0,0.07691263285344656,0.09086438046352581,0.8124063131586771,0.016952132399817323,0.28300891237698883,1.211014000974506,middle,JW Hastings,2014,9685091.918499999,12.503897858328894
2014,K Santokie,Mumbai Indians,1,12,7.0,6,50.0,2,16.67,0.07691263285344656,0.25746840274221167,0.6247000252006525,0.2432950527811411,0.04814522409036801,0.9761503126878853,middle,K Santokie,2014,5811055.151099999,16.798159496096087
2014,KK Cooper,Rajasthan Royals,1,30,10.2,8,26.67,6,20.0,0.07691263285344656,0.3907516205651603,0.36200130306143774,0.28850932541880203,-0.1463338213372875,0.7816712672602297,middle,KK Cooper,2014,5811055.151099999,13.451451533931214
2014,KV Sharma,Sunrisers Hyderabad,11,210,8.34,74,35.24,34,16.19,0.5894215553627621,0.3132807502055714,0.4585005764747712,0.23677768014868544,0.7237023697923801,1.6517074583898974,middle,KV Sharma,2014,72638189.38875,2.273883025291527
2014,KW Richardson,Rajasthan Royals,1,30,7.0,11,36.67,3,10.0,0.07691263285344656,0.25746840274221167,0.47460255558574754,0.15273072890930967,0.02122884798026281,0.9492339365777801,middle,KW Richardson,2014,19370183.836999997,4.900490075703871
2014,L Balaji,Punjab Kings,4,84,7.79,30,35.71,10,11.9,0.2306653096062412,0.2903726971422521,0.4637928353434138,0.17852866224611325,0.2171319248493616,1.1451370134468788,middle,L Balaji,2014,34866330.9066,3.28436340638903
2014,LR Shukla,Delhi Capitals,1,48,8.63,21,43.75,11,22.92,0.07691263285344656,0.32535954182077614,0.554324242372959,0.3281566755995738,-0.04425274658447817,0.8837523420130391,middle,LR Shukla,2014,29055275.7555,3.041624348878361
2014,M de Lange,Mumbai Indians,1,12,6.0,4,33.33,1,8.33,0.07691263285344656,0.2158173971725402,0.436993737242628,0.13005570329222446,0.04780201205648116,0.9758071006539984,middle,M de Lange,2014,5811055.151099999,16.792253304794116
2014,M Morkel,Kolkata Knight Riders,5,78,8.62,30,38.46,16,20.51,0.2819162018571728,0.3249430317650794,0.494758179787599,0.29543403384078615,0.25226052454181813,1.1802656131393354,middle,M Morkel,2014,54236514.743599996,2.176145754790796
2014,M Muralitharan,Royal Challengers Bengaluru,2,48,7.63,13,27.08,5,10.42,0.12816352510437812,0.28370853625110465,0.3666179544149344,0.15843342996270834,0.04357715898762209,0.9715822475851393,middle,M Muralitharan,2014,19370183.836999997,5.015864876456513
2014,M Vijay,Delhi Capitals,0,6,13.0,2,33.33,3,50.0,0.025661740602515005,0.5073744361602405,0.436993737242628,0.695845114947279,-0.3754778398410873,0.55252724875643,middle,M Vijay,2014,96850919.185,0.5704925192305287
2014,MC Henriques,Sunrisers Hyderabad,0,24,6.5,6,25.0,2,8.33,0.025661740602515005,0.23664289995737592,0.34319689388987795,0.13005570329222446,-0.07387378155360975,0.8541313070439075,middle,MC Henriques,2014,19370183.836999997,4.409515749728646
2014,MG Johnson,Punjab Kings,2,66,8.0,27,40.91,10,15.15,0.12816352510437812,0.2991194083118831,0.5223454866560548,0.22265670611169824,0.06512206578153748,0.9931271543790547,middle,MG Johnson,2014,125906194.94049999,0.7887833913560655
2014,MK Tiwary,Delhi Capitals,0,6,11.0,3,50.0,2,33.33,0.025661740602515005,0.42407242502089754,0.6247000252006525,0.4695021945659553,-0.20725576046594085,0.7207493281315764,middle,MK Tiwary,2014,54236514.743599996,1.3289005230864805
2014,MM Sharma,Chennai Super Kings,4,78,5.77,29,37.18,4,5.13,0.2306653096062412,0.20623766589151574,0.4803452194644873,0.08660655240918688,0.307790087053658,1.2357951756511754,middle,MM Sharma,2014,38740367.673999995,3.18994178385292
2014,Mohammed Shami,Delhi Capitals,3,66,6.18,26,39.39,5,7.58,0.17941441735530966,0.22331457817508105,0.5052300962723598,0.11987230855401254,0.21806453066380513,1.1460696192613224,middle,Mohammed Shami,2014,82323281.30725,1.3921573594520837
2014,P Negi,Chennai Super Kings,0,30,12.0,5,16.67,8,26.67,0.025661740602515005,0.465723430590569,0.24940005053712788,0.3790736492906335,-0.335080848265671,0.5929242403318462,middle,P Negi,2014,1937018.3837,30.61015038996536
2014,P Suyal,Mumbai Indians,1,6,1.0,5,83.33,0,0.0,0.07691263285344656,0.007562369324182875,0.9999999998641772,0.016952132399817323,0.4059286273001132,1.3339337158976305,middle,P Suyal,2014,1937018.3837,68.86531006224185
2014,Parvez Rasool,Sunrisers Hyderabad,1,36,9.17,9,25.0,6,16.67,0.07691263285344656,0.3478510848283987,0.34319689388987795,0.2432950527811411,-0.108611860971814,0.8193932276257033,middle,Parvez Rasool,2014,18401674.64515,4.452818797346062
2014,PJ Cummins,Kolkata Knight Riders,0,6,9.0,1,16.67,1,16.67,0.025661740602515005,0.34077041388155455,0.24940005053712788,0.2432950527811411,-0.207962715596561,0.7200423730009563,middle,PJ Cummins,2014,19370183.836999997,3.71727175673762
2014,PP Ojha,Mumbai Indians,1,162,8.85,48,29.63,24,14.81,0.07691263285344656,0.33452276304610384,0.39533127380863337,0.2180402338303755,-0.07725792578019838,0.8507471628173189,middle,PP Ojha,2014,62953097.470249996,1.3513984172412803
2014,PV Tambe,Rajasthan Royals,14,240,7.18,70,29.17,25,10.42,0.7431742321155568,0.2649655837447525,0.39015161619251515,0.15843342996270834,0.9881476800427461,1.9161527686402633,middle,PV Tambe,2014,1937018.3837,98.92279726226035
2014,R Bhatia,Rajasthan Royals,11,204,7.65,49,24.02,22,10.78,0.5894215553627621,0.2845415563624981,0.33216197114249557,0.16332145943705006,0.7234833874094833,1.6514884760070005,middle,R Bhatia,2014,32929312.522899996,5.015253430688866
2014,R Dhawan,Punjab Kings,10,204,7.0,67,32.84,20,9.8,0.5381706631118305,0.25746840274221167,0.43147627586893694,0.15001515697911982,0.7007211238388336,1.6287262124363509,middle,R Dhawan,2014,58110551.511,2.8028063236124034
2014,R Rampaul,Royal Challengers Bengaluru,0,6,6.0,3,50.0,1,16.67,0.025661740602515005,0.2158173971725402,0.6247000252006525,0.2432950527811411,0.0045896901697078454,0.9325947787672252,middle,R Rampaul,2014,17433165.4533,5.349543554011818
2014,R Shukla,Delhi Capitals,0,18,10.0,3,16.67,3,16.67,0.025661740602515005,0.38242141945122604,0.24940005053712788,0.2432950527811411,-0.24128352005229825,0.686721568545219,middle,R Shukla,2014,7748073.5348,8.863126627036397
2014,R Tewatia,Rajasthan Royals,2,42,7.71,14,33.33,6,14.29,0.12816352510437812,0.28704061669667835,0.436993737242628,0.2109797468118819,0.0515149661096365,0.9795200547071538,middle,R Tewatia,2014,1937018.3837,50.56844390067798
2014,RG Sharma,Mumbai Indians,1,18,8.67,4,22.22,3,16.67,0.07691263285344656,0.32702558204356297,0.31189374568811984,0.2432950527811411,-0.1013424032044728,0.8266626853930445,middle,RG Sharma,2014,36803349.2903,2.2461615622872735
2014,RN ten Doeschate,Kolkata Knight Riders,1,30,7.0,13,43.33,4,13.33,0.07691263285344656,0.25746840274221167,0.549594989766938,0.19794500154697062,0.034683723707087756,0.962688812304605,middle,RN ten Doeschate,2014,19370183.836999997,4.969951862128036
2014,S Badree,Chennai Super Kings,1,18,9.67,4,22.22,3,16.67,0.07691263285344656,0.36867658761323446,0.31189374568811984,0.2432950527811411,-0.13466320766021,0.7933418809373073,middle,S Badree,2014,5811055.151099999,13.652286208075864
2014,S Gopal,Mumbai Indians,5,72,8.17,24,33.33,10,13.89,0.2819162018571728,0.3062000792587273,0.436993737242628,0.2055486029515022,0.26790263996126534,1.1959077285587827,middle,S Gopal,2014,1937018.3837,61.739616857658156
2014,S Kaul,Delhi Capitals,1,30,12.6,5,16.67,9,30.0,0.07691263285344656,0.4907140339323718,0.24940005053712788,0.4242879219282944,-0.28723984709024813,0.6407652415072691,middle,S Kaul,2014,8716582.72665,7.351106065318458
2014,S Nadeem,Delhi Capitals,5,150,8.12,43,28.67,18,12.0,0.2819162018571728,0.3041175289802437,0.3845215535662997,0.17988644821120814,0.25895945602921255,1.1869645446267298,middle,S Nadeem,2014,16464656.261449998,7.209166871013663
2014,S Rana,Royal Challengers Bengaluru,0,12,8.0,3,25.0,2,16.67,0.025661740602515005,0.2991194083118831,0.34319689388987795,0.2432950527811411,-0.1465028581349988,0.7815022304625185,middle,S Rana,2014,3874036.7674,20.172813976337444
2014,Sandeep Sharma,Punjab Kings,0,12,10.0,2,16.67,2,16.67,0.025661740602515005,0.38242141945122604,0.24940005053712788,0.2432950527811411,-0.24128352005229825,0.686721568545219,middle,Sandeep Sharma,2014,16464656.261449998,4.1708831186053645
2014,Sandeep Sharma,Punjab Kings,0,12,10.0,2,16.67,2,16.67,0.025661740602515005,0.38242141945122604,0.24940005053712788,0.2432950527811411,-0.24128352005229825,0.686721568545219,middle,Sandeep Sharma,2014,1937018.3837,35.45250650814559
2014,SB Jakati,Royal Challengers Bengaluru,0,6,4.0,2,33.33,0,0.0,0.025661740602515005,0.13251538603319724,0.436993737242628,0.016952132399817323,0.06018799677003966,0.9881930853675569,middle,SB Jakati,2014,3874036.7674,25.508097746598505
2014,Shakib Al Hasan,Kolkata Knight Riders,6,180,6.77,57,31.67,16,8.89,0.3331670941081043,0.24788867146118718,0.41830192932359267,0.13765930469675602,0.3993984218509332,1.3274035104484505,middle,Shakib Al Hasan,2014,54236514.743599996,2.447435121382106
2014,TG Southee,Rajasthan Royals,0,6,12.0,1,16.67,2,33.33,0.025661740602515005,0.465723430590569,0.24940005053712788,0.4695021945659553,-0.3531665573207354,0.5748385312767819,middle,TG Southee,2014,23244220.604399998,2.47303852884604
2014,UT Yadav,Kolkata Knight Riders,3,72,8.67,22,30.56,13,18.06,0.17941441735530966,0.32702558204356297,0.40580319029339423,0.26216827769596046,0.07680846194694033,1.0048135505444575,middle,UT Yadav,2014,50362477.9762,1.9951630478137041
2014,V Shankar,Chennai Super Kings,0,6,19.0,1,16.67,3,50.0,0.025661740602515005,0.7572804695782692,0.24940005053712788,0.695845114947279,-0.6316807725871603,0.296324316010357,middle,V Shankar,2014,1937018.3837,15.297960954006667
2014,VR Aaron,Royal Challengers Bengaluru,5,66,8.18,27,40.91,14,21.21,0.2819162018571728,0.3066165893144239,0.5223454866560548,0.30493853559645057,0.27329697021174637,1.2013020588092638,middle,VR Aaron,2014,38740367.673999995,3.100905156394526
2014,VS Malik,Rajasthan Royals,1,6,5.0,1,16.67,0,0.0,0.07691263285344656,0.1741663916028687,0.24940005053712788,0.016952132399817323,0.047465424679049746,0.9754705132765671,middle,VS Malik,2014,3874036.7674,25.17969167162136
2014,WD Parnell,Delhi Capitals,1,54,7.44,18,33.33,8,14.81,0.07691263285344656,0.27579484519286707,0.436993737242628,0.2180402338303755,-0.017776852467410537,0.9102282361301067,middle,WD Parnell,2014,19370183.836999997,4.699120275727236
2014,Y Venugopal Rao,Sunrisers Hyderabad,0,6,7.0,2,33.33,1,16.67,0.025661740602515005,0.25746840274221167,0.436993737242628,0.2432950527811411,-0.08504300067343665,0.8429620879240807,middle,Y Venugopal Rao,2014,10653601.11035,7.912461515995196
2014,YK Pathan,Kolkata Knight Riders,0,6,10.0,1,16.67,1,16.67,0.025661740602515005,0.38242141945122604,0.24940005053712788,0.2432950527811411,-0.24128352005229825,0.686721568545219,middle,YK Pathan,2014,62953097.470249996,1.0908463540967874
2014,YS Chahal,Royal Challengers Bengaluru,11,294,7.1,109,37.07,33,11.22,0.5894215553627621,0.2616335032991788,0.4791066056867199,0.16929571768346774,0.7846983685741226,1.71270345717164,middle,YS Chahal,2014,1937018.3837,88.41957678791441
2014,Yuvraj Singh,Royal Challengers Bengaluru,5,106,8.55,26,24.53,16,15.09,0.2819162018571728,0.32202746137520244,0.33790463502123547,0.22184203453264129,0.22225531728543962,1.1502604058829569,middle,Yuvraj Singh,2014,271182573.718,0.4241645730079622
2014,Z Khan,Mumbai Indians,0,18,8.33,7,38.89,3,16.67,0.025661740602515005,0.3128642401498747,0.4996000336461443,0.2432950527811411,-0.1105777816785122,0.8174273069190051,middle,Z Khan,2014,50362477.9762,1.6230879411956258
