season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2018,KS Williamson,Sunrisers Hyderabad,199,176,113.07,23,3,14.77,70,39.77
2020,GJ Maxwell,Punjab Kings,6,10,60.00,0,0,0.00,5,50.00
2017,DR Smith,Gujarat Titans,97,68,142.65,15,2,25.00,27,39.71
2014,RR Rossouw,Royal Challengers Bengaluru,6,11,54.55,1,0,9.09,8,72.73
2015,JA Morkel,Delhi Capitals,20,15,133.33,3,0,20.00,5,33.33
2013,LA Pomersbach,Punjab Kings,22,15,146.67,4,0,26.67,7,46.67
2022,RR Pant,Delhi Capitals,75,51,147.06,12,1,25.49,20,39.22
2023,B Sai Sudharsan,Gujarat Titans,93,78,119.23,12,1,16.67,32,41.03
2025,SP Narine,Kolkata Knight Riders,184,107,171.96,20,13,30.84,45,42.06
2023,SA Yadav,Mumbai Indians,72,58,124.14,7,1,13.79,18,31.03
2018,SP Narine,Kolkata Knight Riders,245,129,189.92,27,16,33.33,53,41.09
2016,SS Tiwary,Lucknow Super Giants,65,44,147.73,9,2,25.00,18,40.91
2014,G Gambhir,Kolkata Knight Riders,173,147,117.69,22,2,16.33,61,41.50
2017,SV Samson,Delhi Capitals,192,129,148.84,20,8,21.71,44,34.11
2025,Priyansh Arya,Punjab Kings,318,164,193.90,39,16,33.54,52,31.71
2023,KL Rahul,Lucknow Super Giants,143,110,130.00,18,2,18.18,38,34.55
2019,SV Samson,Rajasthan Royals,111,77,144.16,8,6,18.18,24,31.17
2018,N Rana,Kolkata Knight Riders,107,85,125.88,11,5,18.82,40,47.06
2025,MP Breetzke,Lucknow Super Giants,9,9,100.00,0,1,11.11,5,55.56
2014,MK Tiwary,Delhi Capitals,5,9,55.56,0,0,0.00,5,55.56
2013,TM Dilshan,Royal Challengers Bengaluru,44,61,72.13,8,0,13.11,41,67.21
2024,RD Gaikwad,Chennai Super Kings,272,182,149.45,37,5,23.08,56,30.77
2018,DJM Short,Rajasthan Royals,43,47,91.49,5,0,10.64,18,38.30
2017,TM Head,Royal Challengers Bengaluru,14,20,70.00,1,0,5.00,12,60.00
2019,PP Shaw,Delhi Capitals,181,132,137.12,26,5,23.48,55,41.67
2025,Tilak Varma,Mumbai Indians,55,39,141.03,4,3,17.95,14,35.90
2024,R Ravindra,Chennai Super Kings,161,96,167.71,19,8,28.13,35,36.46
2013,MA Agarwal,Royal Challengers Bengaluru,39,44,88.64,5,1,13.64,26,59.09
2019,Yuvraj Singh,Mumbai Indians,2,4,50.00,0,0,0.00,2,50.00
2021,MP Stoinis,Delhi Capitals,10,14,71.43,1,0,7.14,7,50.00
2014,YK Pathan,Kolkata Knight Riders,23,15,153.33,1,2,20.00,7,46.67
2023,MW Short,Punjab Kings,97,72,134.72,13,4,23.61,36,50.00
2025,AM Rahane,Kolkata Knight Riders,266,154,172.73,31,15,29.87,60,38.96
2018,AD Hales,Sunrisers Hyderabad,107,64,167.19,10,6,25.00,21,32.81
2016,Shakib Al Hasan,Kolkata Knight Riders,7,18,38.89,0,0,0.00,11,61.11
2013,SR Tendulkar,Mumbai Indians,187,147,127.21,30,3,22.45,71,48.30
2018,G Gambhir,Delhi Capitals,55,56,98.21,6,1,12.50,24,42.86
2020,V Kohli,Royal Challengers Bengaluru,94,86,109.30,10,0,11.63,29,33.72
2016,F du Plessis,Lucknow Super Giants,106,75,141.33,10,7,22.67,31,41.33
2024,GJ Maxwell,Royal Challengers Bengaluru,0,3,0.00,0,0,0.00,3,100.00
2024,PP Shaw,Delhi Capitals,94,66,142.42,16,1,25.76,27,40.91
2017,S Badree,Royal Challengers Bengaluru,0,1,0.00,0,0,0.00,1,100.00
2025,V Kohli,Royal Challengers Bengaluru,320,215,148.84,38,9,21.86,65,30.23
2014,V Sehwag,Punjab Kings,221,166,133.13,29,8,22.29,73,43.98
2024,R Parag,Rajasthan Royals,71,62,114.52,7,2,14.52,25,40.32
2025,J Fraser-McGurk,Delhi Capitals,22,20,110.00,2,1,15.00,11,55.00
2021,DA Warner,Sunrisers Hyderabad,97,77,125.97,10,2,15.58,27,35.06
2016,PA Patel,Mumbai Indians,89,82,108.54,17,0,20.73,44,53.66
2021,WP Saha,Sunrisers Hyderabad,66,62,106.45,5,4,14.52,32,51.61
2018,JC Buttler,Rajasthan Royals,218,117,186.32,25,11,30.77,30,25.64
2019,C de Grandhomme,Royal Challengers Bengaluru,0,1,0.00,0,0,0.00,1,100.00
2025,N Wadhera,Punjab Kings,46,38,121.05,3,2,13.16,14,36.84
2017,Vishnu Vinod,Royal Challengers Bengaluru,9,19,47.37,1,0,5.26,13,68.42
2015,SK Raina,Chennai Super Kings,139,129,107.75,13,6,14.73,64,49.61
2021,JM Bairstow,Sunrisers Hyderabad,153,93,164.52,12,12,25.81,38,40.86
2013,Azhar Mahmood,Punjab Kings,20,23,86.96,3,0,13.04,12,52.17
2014,WP Saha,Punjab Kings,110,86,127.91,13,4,19.77,39,45.35
2022,SW Billings,Kolkata Knight Riders,9,11,81.82,1,0,9.09,7,63.64
2019,SR Watson,Chennai Super Kings,176,153,115.03,20,8,18.30,78,50.98
2022,HE van der Dussen,Rajasthan Royals,1,1,100.00,0,0,0.00,0,0.00
2023,HC Brook,Sunrisers Hyderabad,73,69,105.80,8,2,14.49,35,50.72
2013,RE van der Merwe,Delhi Capitals,7,8,87.50,1,0,12.50,4,50.00
2023,MK Pandey,Delhi Capitals,48,43,111.63,7,0,16.28,19,44.19
2023,DP Conway,Chennai Super Kings,325,228,142.54,42,8,21.93,80,35.09
2014,GJ Bailey,Punjab Kings,1,2,50.00,0,0,0.00,1,50.00
2016,M Vijay,Punjab Kings,238,186,127.96,33,5,20.43,77,41.40
2014,NV Ojha,Sunrisers Hyderabad,39,35,111.43,5,2,20.00,19,54.29
2025,A Badoni,Lucknow Super Giants,15,14,107.14,0,1,7.14,5,35.71
2022,DR Sams,Mumbai Indians,1,5,20.00,0,0,0.00,4,80.00
2019,KA Pollard,Mumbai Indians,4,9,44.44,0,0,0.00,5,55.56
2016,BB McCullum,Gujarat Titans,252,174,144.83,29,12,23.56,73,41.95
2019,SPD Smith,Rajasthan Royals,69,61,113.11,6,1,11.48,21,34.43
2014,AP Tare,Mumbai Indians,62,58,106.90,8,1,15.52,28,48.28
2022,GJ Maxwell,Royal Challengers Bengaluru,89,55,161.82,11,3,25.45,19,34.55
2018,AB de Villiers,Royal Challengers Bengaluru,122,73,167.12,19,3,30.14,26,35.62
2023,RK Singh,Kolkata Knight Riders,22,18,122.22,2,1,16.67,7,38.89
2023,HH Pandya,Gujarat Titans,75,68,110.29,10,1,16.18,33,48.53
2024,DA Miller,Gujarat Titans,7,10,70.00,1,0,10.00,7,70.00
2025,Nithish Kumar Reddy,Sunrisers Hyderabad,40,40,100.00,3,1,10.00,18,45.00
2023,YV Dhull,Delhi Capitals,9,13,69.23,1,0,7.69,7,53.85
2016,DA Warner,Sunrisers Hyderabad,439,284,154.58,48,17,22.89,101,35.56
2017,AJ Finch,Gujarat Titans,85,55,154.55,7,6,23.64,24,43.64
2022,AM Rahane,Kolkata Knight Riders,81,74,109.46,7,4,14.86,34,45.95
2025,SE Rutherford,Gujarat Titans,0,4,0.00,0,0,0.00,4,100.00
2017,LMP Simmons,Mumbai Indians,86,64,134.38,6,6,18.75,27,42.19
2017,IR Jaggi,Kolkata Knight Riders,6,13,46.15,0,0,0.00,6,46.15
2019,BCJ Cutting,Mumbai Indians,1,2,50.00,0,0,0.00,1,50.00
2024,RM Patidar,Royal Challengers Bengaluru,87,57,152.63,11,3,24.56,18,31.58
2013,AC Gilchrist,Punjab Kings,164,121,135.54,25,2,22.31,48,39.67
2013,SV Samson,Rajasthan Royals,31,33,93.94,5,0,15.15,18,54.55
2015,STR Binny,Rajasthan Royals,5,3,166.67,1,0,33.33,1,33.33
2017,V Kohli,Royal Challengers Bengaluru,132,110,120.00,13,4,15.45,46,41.82
2019,AB de Villiers,Royal Challengers Bengaluru,95,91,104.40,10,2,13.19,45,49.45
2023,S Dube,Chennai Super Kings,1,1,100.00,0,0,0.00,0,0.00
2019,F du Plessis,Chennai Super Kings,199,166,119.88,23,6,17.47,73,43.98
2015,EJG Morgan,Sunrisers Hyderabad,23,37,62.16,2,0,5.41,22,59.46
2021,MK Pandey,Sunrisers Hyderabad,100,89,112.36,8,4,13.48,39,43.82
2025,R Ravindra,Chennai Super Kings,103,77,133.77,13,0,16.88,23,29.87
2013,MK Pandey,Lucknow Super Giants,37,48,77.08,1,2,6.25,27,56.25
2021,Lalit Yadav,Delhi Capitals,0,1,0.00,0,0,0.00,1,100.00
2022,V Kohli,Royal Challengers Bengaluru,124,116,106.90,15,2,14.66,54,46.55
2016,AB de Villiers,Royal Challengers Bengaluru,177,122,145.08,21,6,22.13,40,32.79
2015,DJ Bravo,Chennai Super Kings,3,6,50.00,0,0,0.00,2,33.33
2013,SE Marsh,Punjab Kings,122,113,107.96,20,1,18.58,55,48.67
2017,MJ McClenaghan,Mumbai Indians,0,1,0.00,0,0,0.00,1,100.00
2019,DJ Hooda,Sunrisers Hyderabad,1,1,100.00,0,0,0.00,0,0.00
2018,KM Jadhav,Chennai Super Kings,1,2,50.00,0,0,0.00,1,50.00
2023,A Manohar,Gujarat Titans,3,4,75.00,0,0,0.00,1,25.00
2022,WP Saha,Gujarat Titans,191,132,144.70,25,6,23.48,47,35.61
2024,A Badoni,Lucknow Super Giants,13,20,65.00,1,0,5.00,11,55.00
2015,MEK Hussey,Chennai Super Kings,31,31,100.00,3,1,12.90,13,41.94
2025,H Klaasen,Sunrisers Hyderabad,49,36,136.11,4,3,19.44,15,41.67
2020,JC Buttler,Rajasthan Royals,106,86,123.26,11,4,17.44,36,41.86
2018,PA Patel,Royal Challengers Bengaluru,116,68,170.59,16,4,29.41,23,33.82
2020,SM Curran,Chennai Super Kings,45,32,140.63,4,3,21.88,15,46.88
2025,V Nigam,Delhi Capitals,20,7,285.71,3,1,57.14,1,14.29
2014,LMP Simmons,Mumbai Indians,174,124,140.32,24,5,23.39,51,41.13
2013,M Vijay,Chennai Super Kings,226,189,119.58,22,7,15.34,84,44.44
2020,DL Chahar,Chennai Super Kings,0,2,0.00,0,0,0.00,2,100.00
2016,SV Samson,Delhi Capitals,97,113,85.84,10,0,8.85,52,46.02
2021,MA Agarwal,Punjab Kings,202,152,132.89,22,6,18.42,57,37.50
2017,MC Henriques,Sunrisers Hyderabad,77,63,122.22,9,0,14.29,23,36.51
2024,TM Head,Sunrisers Hyderabad,395,174,227.01,46,24,40.23,41,23.56
2022,JM Bairstow,Punjab Kings,148,85,174.12,19,8,31.76,36,42.35
2022,D Brevis,Mumbai Indians,75,55,136.36,10,3,23.64,27,49.09
2023,S Dhawan,Punjab Kings,145,112,129.46,22,3,22.32,51,45.54
2024,JM Bairstow,Punjab Kings,156,116,134.48,21,4,21.55,43,37.07
2023,Q de Kock,Lucknow Super Giants,83,48,172.92,7,5,25.00,12,25.00
2022,SS Iyer,Kolkata Knight Riders,182,141,129.08,25,2,19.15,54,38.30
2023,SO Hetmyer,Rajasthan Royals,9,7,128.57,0,1,14.29,3,42.86
2015,HH Pandya,Mumbai Indians,0,5,0.00,0,0,0.00,5,100.00
2022,F du Plessis,Royal Challengers Bengaluru,206,173,119.08,27,3,17.34,73,42.20
2019,MS Dhoni,Chennai Super Kings,12,19,63.16,1,0,5.26,12,63.16
2024,DA Warner,Delhi Capitals,122,81,150.62,11,9,24.69,37,45.68
2021,KL Rahul,Punjab Kings,256,209,122.49,24,10,16.27,82,39.23
2014,KP Pietersen,Delhi Capitals,176,124,141.94,22,5,21.77,41,33.06
2025,Aniket Verma,Sunrisers Hyderabad,30,21,142.86,3,1,19.05,7,33.33
2023,N Jagadeesan,Kolkata Knight Riders,73,60,121.67,12,1,21.67,31,51.67
2024,Naman Dhir,Mumbai Indians,44,34,129.41,6,2,23.53,17,50.00
2024,T Stubbs,Delhi Capitals,11,9,122.22,2,0,22.22,4,44.44
2022,SP Narine,Kolkata Knight Riders,12,9,133.33,1,1,22.22,5,55.56
2021,Shahbaz Ahmed,Royal Challengers Bengaluru,14,10,140.00,0,1,10.00,2,20.00
2013,M Vohra,Punjab Kings,88,68,129.41,14,0,20.59,29,42.65
2016,DR Smith,Gujarat Titans,155,103,150.49,17,7,23.30,41,39.81
2022,RA Tripathi,Sunrisers Hyderabad,177,122,145.08,21,7,22.95,49,40.16
2016,JC Buttler,Mumbai Indians,19,30,63.33,3,0,10.00,21,70.00
2019,C Munro,Delhi Capitals,50,39,128.21,6,2,20.51,17,43.59
2019,RR Pant,Delhi Capitals,26,25,104.00,2,2,16.00,15,60.00
2024,Sumit Kumar,Delhi Capitals,0,3,0.00,0,0,0.00,2,66.67
2017,DA Miller,Punjab Kings,6,7,85.71,0,0,0.00,2,28.57
2019,P Negi,Royal Challengers Bengaluru,4,3,133.33,1,0,33.33,1,33.33
2018,SP Goswami,Sunrisers Hyderabad,44,30,146.67,6,1,23.33,9,30.00
2016,HH Pandya,Mumbai Indians,17,30,56.67,2,0,6.67,18,60.00
2022,HR Shokeen,Mumbai Indians,1,8,12.50,0,0,0.00,6,75.00
2022,AK Markram,Sunrisers Hyderabad,42,49,85.71,3,1,8.16,23,46.94
2014,SK Raina,Chennai Super Kings,188,131,143.51,21,8,22.14,56,42.75
2022,KL Rahul,Lucknow Super Giants,205,190,107.89,15,9,12.63,85,44.74
2015,AR Patel,Punjab Kings,12,13,92.31,2,0,15.38,7,53.85
2016,EJG Morgan,Sunrisers Hyderabad,10,15,66.67,0,0,0.00,7,46.67
