season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2023,AM Rahane,Chennai Super Kings,141,74,190.54,13,7,27.03,13,17.57,0.31076745569306263,0.6982790016088889,0.4804374479215676,0.27098989859030637,0.7326533473465081,1.0132938415554718,powerplay,AM Rahane,2023.0,5915430.661499999,12.38546082730562
2025,Atharva Taide,Sunrisers Hyderabad,8,4,200.0,2,0,50.0,2,50.0,0.031907107121586044,0.6222127164008928,0.7167261758010338,0.5402730081227014,0.49707692057137,0.7777174147803336,powerplay,Atharva Taide,2025.0,3148500.0000000005,15.787737670997933
2022,JM Sharma,Punjab Kings,14,10,140.0,2,0,20.0,3,30.0,0.04281810306912203,0.5493076933801858,0.3756095931314536,0.314707288070488,0.38352045963339826,0.664160953842362,powerplay,JM Sharma,2022.0,2487556.9016,15.417555248152008
2025,D Padikkal,Royal Challengers Bengaluru,91,55,165.45,7,7,25.45,22,40.0,0.19485925028965145,0.525579366612007,0.37838893868426493,0.45918706029251977,0.45119598785788806,0.7318364820668517,powerplay,D Padikkal,2025.0,20990000.000000004,2.1495759307188567
2014,RG Sharma,Mumbai Indians,37,40,92.5,3,2,12.5,22,55.0,0.09740018630457264,0.4053758577473343,0.28309747254214285,0.5156515030591655,0.25330648964353997,0.5339469838525037,powerplay,RG Sharma,2014.0,36803349.2903,0.6882702105329913
2025,RM Patidar,Royal Challengers Bengaluru,46,42,109.52,4,1,11.9,14,33.33,0.1065117027888931,0.3691480133937038,0.19164883428784057,0.4051027330897886,0.23449452443055807,0.5151350186395218,powerplay,,,,
2018,CH Morris,Delhi Daredevils,17,7,242.86,2,1,42.86,1,14.29,0.047247154248450926,0.8944991729871964,0.7647035799477947,0.2532141770418284,0.7531996677563181,1.0338401619652817,powerplay,,,,
2016,F du Plessis,Rising Pune Supergiants,106,75,141.33,10,7,22.67,31,41.33,0.260619520191807,0.5877623192298229,0.4853304986712052,0.4201686726526509,0.5947248983746041,0.8753653925835678,powerplay,,,,
2014,AM Nayar,Rajasthan Royals,22,21,104.76,2,1,14.29,14,66.67,0.057913624289205365,0.4591045930552513,0.32363703061017773,0.6245239960375706,0.23416266092229882,0.5148031551312625,powerplay,AM Nayar,2014.0,19370183.836999997,1.2088819749609838
2018,H Klaasen,Rajasthan Royals,6,5,120.0,1,0,20.0,3,60.0,0.022989854691734403,0.4480022847848913,0.3725046906708953,0.6251866155689625,0.22246415227704736,0.503104646486011,powerplay,,,,
2025,KK Nair,Delhi Capitals,104,60,173.33,12,6,30.0,24,40.0,0.22038187512320387,0.5476190423380974,0.4410950254004075,0.45918706029251977,0.5108516646100393,0.7914921588190029,powerplay,KK Nair,2025.0,5247500.000000001,9.73514368003886
2015,GJ Maxwell,Kings XI Punjab,57,55,103.64,6,2,14.55,29,52.73,0.1453752549223405,0.43090676246170007,0.29498005771502467,0.5231983528991301,0.30753510527074446,0.5881755994797082,powerplay,,,,
2014,MA Agarwal,Delhi Daredevils,71,62,114.52,8,1,14.52,28,45.16,0.18690306020607186,0.5018772240997268,0.32884602410495317,0.42385156039356947,0.421286302943879,0.7019267971528427,powerplay,MA Agarwal,2014.0,30992294.1392,1.3593259700353166
