name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,Unnamed: 0
STR Binny,india,32.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,35,17.5,120.69,0,2,1,22,880,19.13,128.85,0,66,35,1,10.8,54.0,30.0,22,7.66,34.45,27.0,royal-challengers-bengaluru,2016,20000000,305.0
KW Richardson,australia,25.0,,bowler,right-handed-bat,right-arm-fast-medium,3,17,4.25,100.0,0,0,0,1,36,12.0,92.31,0,2,1,45,8.4,23.53,16.8,19,8.45,24.84,17.63,royal-challengers-bengaluru,2016,20000000,17.0
S Badree,west indies,35.0,,bowler,right-handed-bat,right-arm-legbreak,10,43,7.17,66.16,0,1,1,0,13,2.6,56.53,0,0,0,56,6.18,21.07,20.46,11,7.42,29.0,23.45,royal-challengers-bengaluru,2016,5000000,41.0
TM Head,australia,23.0,,batsman,left-handed-bat,right-arm-offbreak,4,1093,33.12,160.5,5,114,53,4,772,36.76,173.88,5,76,40,1,9.33,56.0,36.0,2,11.69,56.5,29.0,royal-challengers-bengaluru,2016,5000000,188.0
P Dubey,india,23.0,,bowling-allrounder,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,1,23,23.0,69.7,0,2,0,0,0.0,0.0,0.0,1,8.27,91.0,66.0,royal-challengers-bengaluru,2016,3500000,309.0
VS Malik,india,33.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,1,7,7.0,100.0,0,1,0,0,0.0,0.0,0.0,6,7.64,43.5,34.17,royal-challengers-bengaluru,2016,2000000,128.0
Iqbal Abdulla,india,27.0,,bowler,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,11,88,44.0,104.77,0,9,1,0,0.0,0.0,0.0,40,7.23,27.73,23.0,royal-challengers-bengaluru,2016,1000000,125.0
Sachin Baby,india,28.0,,batsman,left-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,2,144,16.0,122.04,0,11,5,0,0.0,0.0,0.0,2,4.8,4.0,5.0,royal-challengers-bengaluru,2016,1000000,313.0
Yuvraj Singh,india,35.0,,batting-allrounder,left-handed-bat,left-arm-orthodox,9,1177,28.02,136.39,8,77,74,15,2750,24.77,129.72,13,217,149,28,7.06,17.82,15.14,36,7.44,29.92,24.14,sunrisers-hyderabad,2016,70000000,134.0
A Nehra,india,37.0,,bowler,right-handed-bat,left-arm-fast-medium,0,28,5.6,71.8,0,1,2,15,41,5.86,66.13,0,3,1,34,7.73,22.29,17.29,106,7.85,23.54,18.0,sunrisers-hyderabad,2016,55000000,36.0
Mujeeb Ur Rahman,bangladesh,21.0,,bowler,left-handed-bat,left-arm-fast-medium,13,87,4.58,74.36,0,3,5,8,13,13.0,56.53,0,0,1,132,7.52,21.62,17.26,61,8.14,28.89,21.28,sunrisers-hyderabad,2016,14000000,317.0
BCJ Cutting,australia,29.0,6.29952,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,40,10.0,148.15,0,2,3,6,238,21.64,168.8,0,15,19,3,10.24,71.67,42.0,10,9.16,42.9,28.1,sunrisers-hyderabad,2016,5000000,123.0
V Shankar,india,25.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,sunrisers-hyderabad,2016,3500000,44.0
A Mithun,india,27.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,3,34,6.8,130.77,0,4,1,0,0.0,0.0,0.0,7,9.83,67.43,41.14,sunrisers-hyderabad,2016,3000000,204.0
TL Suman,india,33.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,8,676,21.13,117.57,2,55,26,0,0.0,0.0,0.0,6,7.88,32.83,25.0,sunrisers-hyderabad,2016,1000000,321.0
K Rabada,south africa,22.0,,bowler,left-handed-bat,right-arm-fast,15,156,17.33,110.64,0,14,5,14,206,12.12,106.74,0,16,8,71,8.3,27.15,19.62,117,8.48,21.97,15.54,delhi-capitals,2017,50000000,322.0
PJ Cummins,australia,24.0,6.29952,bowler,right-handed-bat,right-arm-fast,12,158,10.53,118.8,0,11,7,15,515,19.81,149.71,3,33,34,66,7.44,23.58,19.0,63,8.75,30.52,20.94,delhi-capitals,2017,45000000,93.0
AD Mathews,sri lanka,30.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,22,1416,27.76,120.52,6,92,50,11,724,23.35,125.92,1,44,29,45,7.13,30.87,25.98,27,8.18,39.96,29.3,delhi-capitals,2017,20000000,181.0
CJ Anderson,united states of america,27.0,,batting-allrounder,left-handed-bat,left-arm-fast-medium,6,697,24.03,126.04,3,40,35,7,538,24.45,127.19,3,40,31,16,8.13,36.56,27.0,11,10.46,47.09,27.0,delhi-capitals,2017,10000000,102.0
M Ashwin,india,27.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,4,35,3.89,70.0,0,2,1,0,0.0,0.0,0.0,35,8.01,33.2,24.86,delhi-capitals,2017,10000000,288.0
AR Bawne,india,25.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,1,12,0.0,100.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2017,1000000,327.0
NA Saini,india,25.0,,bowler,right-handed-bat,right-arm-fast,3,12,0.0,109.1,0,2,0,3,33,8.25,89.19,0,3,0,13,7.16,18.08,15.15,23,8.88,42.35,28.61,delhi-capitals,2017,1000000,328.0
Simarjeet Singh,india,26.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,7,423,35.25,161.46,2,33,25,0,0.0,0.0,0.0,1,8.33,25.0,18.0,delhi-capitals,2017,1000000,329.0
JJ Roy,england,27.0,,batsman,right-handed-bat,,0,1522,23.78,137.62,8,153,69,2,614,32.32,138.61,4,75,21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,gujarat-titans,2017,10000000,330.0
Basil Thampi,india,24.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,7,32,32.0,91.43,0,1,1,0,0.0,0.0,0.0,22,9.74,38.45,23.68,gujarat-titans,2017,8500000,331.0
MS Gony,india,33.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,7,99,9.9,139.44,0,6,8,0,0.0,0.0,0.0,37,8.7,34.78,24.0,gujarat-titans,2017,6000000,8.0
NB Singh,india,22.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,3.75,15.0,24.0,gujarat-titans,2017,5000000,281.0
MM Patel,india,34.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,9,39,6.5,95.13,0,5,0,4,8.6,21.5,15.0,74,7.52,22.95,18.31,gujarat-titans,2017,3000000,334.0
AD Nath,india,24.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,90,9.0,91.84,0,7,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,gujarat-titans,2017,1000000,262.0
SS Agarwal,india,24.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,10.5,42.0,24.0,gujarat-titans,2017,1000000,336.0
P Simran Singh,india,25.0,,batting-allrounder,left-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,gujarat-titans,2017,1000000,338.0
VR Aaron,india,28.0,,bowler,right-handed-bat,right-arm-fast,0,0,0.0,0.0,0,0,0,8,50,10.0,69.45,0,2,2,0,0.0,0.0,0.0,44,8.94,33.66,22.59,punjab-kings,2017,28000000,136.0
EJG Morgan,england,31.0,5.9,batsman,left-handed-bat,right-arm-medium,20,2458,28.58,136.18,14,186,120,13,1405,22.66,122.61,5,112,64,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2017,20000000,227.0
MJ Henry,new zealand,26.0,,bowler,right-handed-bat,right-arm-fast-medium,3,24,6.0,88.89,0,2,1,0,0,0.0,0.0,0,0,0,27,8.3,23.67,17.11,2,10.65,90.5,51.0,punjab-kings,2017,5000000,42.0
DJG Sammy,west indies,34.0,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,punjab-kings,2017,3000000,29.0
R Tewatia,india,24.0,,batting-allrounder,left-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,25,1013,25.33,134.71,1,84,47,0,0.0,0.0,0.0,32,7.91,34.72,26.34,punjab-kings,2017,2500000,130.0
RK Singh,india,20.0,,batsman,left-handed-bat,right-arm-offbreak,11,546,42.0,161.07,3,45,31,11,893,30.79,143.34,4,67,46,2,3.0,1.5,3.0,0,0.0,0.0,0.0,punjab-kings,2017,1000000,345.0
CR Woakes,england,28.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,8,146,16.22,124.79,0,9,7,6,78,13.0,101.3,0,7,2,31,8.07,26.52,19.71,30,8.97,21.93,14.67,kolkata-knight-riders,2017,42000000,346.0
NM Coulter-Nile,australia,30.0,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,kolkata-knight-riders,2017,35000000,12.0
R Dhawan,india,27.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,1,0.0,50.0,0,0,0,13,210,19.09,112.3,0,18,7,1,10.5,42.0,24.0,25,8.08,35.64,26.48,kolkata-knight-riders,2017,5500000,72.0
DM Bravo,west indies,28.0,,batsman,left-handed-bat,right-arm-fast-medium,3,405,21.32,106.87,0,32,14,1,6,0.0,120.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2017,5000000,349.0
R Powell,west indies,24.0,,batsman,right-handed-bat,right-arm-fast-medium,11,1747,25.69,140.33,8,99,117,3,360,18.95,147.55,1,21,28,5,9.94,43.4,26.2,1,11.67,35.0,18.0,kolkata-knight-riders,2017,3000000,350.0
SA Yadav,india,22.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11.5,0.0,0.0,kolkata-knight-riders,2017,1000000,352.0
IR Jaggi,india,28.0,,batsman,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,2,76,15.2,78.36,0,6,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2017,1000000,353.0
KV Sharma,india,30.0,,bowler,left-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,14,351,13.5,119.39,0,20,17,1,7.0,28.0,24.0,76,8.38,27.46,19.67,mumbai-indians,2017,32000000,154.0
K Gowtham,india,29.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,9,247,13.72,166.9,0,15,17,0,0.0,0.0,0.0,21,8.24,38.48,28.0,mumbai-indians,2017,20000000,355.0
MG Johnson,australia,36.0,6.20109,bowler,left-handed-bat,left-arm-fast,7,109,10.9,114.74,0,8,3,17,167,12.85,101.83,0,10,7,38,7.29,20.97,17.26,61,8.29,27.9,20.2,mumbai-indians,2017,20000000,69.0
N Pooran,west indies,22.0,,wk-batsman,left-handed-bat,right-arm-offbreak,10,2275,26.15,136.4,13,152,149,18,1769,32.16,162.3,9,112,127,0,0.0,0.0,0.0,0,0.0,0.0,0.0,mumbai-indians,2017,3000000,358.0
K Khejroliya,india,25.0,,bowler,left-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5,10.76,43.4,24.2,mumbai-indians,2017,1000000,359.0
BA Stokes,england,26.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,9,585,21.67,128.01,1,42,22,6,935,24.61,133.96,2,81,32,26,8.39,32.92,23.54,28,8.64,35.43,24.61,lucknow-super-giants,2017,145000000,360.0
DT Christian,australia,34.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,118,14.75,126.89,0,7,6,9,460,14.38,115.58,0,23,19,13,8.56,30.62,21.46,38,8.1,31.37,23.24,lucknow-super-giants,2017,10000000,26.0
MK Tiwary,india,32.0,,batsman,right-handed-bat,right-arm-legbreak,0,15,15.0,88.24,0,0,0,26,1695,28.73,116.98,7,156,40,0,0.0,0.0,0.0,1,11.86,83.0,42.0,lucknow-super-giants,2017,5000000,54.0
LH Ferguson,new zealand,26.0,,bowler,right-handed-bat,right-arm-fast,7,29,3.63,80.56,0,0,2,7,68,22.67,147.83,0,6,2,64,7.1,16.98,14.36,46,8.96,31.0,20.76,lucknow-super-giants,2017,5000000,363.0
JD Unadkat,india,26.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,lucknow-super-giants,2017,3000000,23.0
RD Chahar,india,18.0,,bowler,right-handed-bat,right-arm-legbreak,0,5,5.0,100.0,0,1,0,8,129,8.06,104.04,0,13,5,7,7.59,23.86,18.86,75,7.72,28.55,22.19,lucknow-super-giants,2017,1000000,365.0
Sumit Kumar,india,24.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,lucknow-super-giants,2017,1000000,366.0
RA Tripathi,india,26.0,,batsman,right-handed-bat,right-arm-medium,0,97,19.4,144.78,0,11,5,10,2236,26.94,139.32,12,223,84,0,0.0,0.0,0.0,0,12.0,0.0,0.0,lucknow-super-giants,2017,1000000,368.0
TS Mills,england,25.0,,bowler,right-handed-bat,left-arm-fast,2,8,2.0,66.67,0,0,1,1,8,2.0,57.15,0,0,1,14,8.83,33.86,23.0,11,9.85,31.18,19.0,royal-challengers-bengaluru,2017,120000000,369.0
A Choudhary,india,27.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,25,25.0,125.0,0,1,1,0,0.0,0.0,0.0,5,8.55,28.8,20.2,royal-challengers-bengaluru,2017,20000000,370.0
P Negi,india,24.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,royal-challengers-bengaluru,2017,10000000,47.0
P Dubey,india,24.0,,bowling-allrounder,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,1,23,23.0,69.7,0,2,0,0,0.0,0.0,0.0,1,8.27,91.0,66.0,royal-challengers-bengaluru,2017,1000000,309.0
Rashid Khan,afghanistan,19.0,,bowling-allrounder,right-handed-bat,right-arm-legbreak,25,467,13.74,126.22,0,31,28,23,545,14.73,161.73,1,39,38,161,6.08,13.8,13.61,149,6.82,21.83,19.19,sunrisers-hyderabad,2017,40000000,373.0
ER Dwivedi,india,29.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,0,24,12.0,171.43,0,2,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,sunrisers-hyderabad,2017,7500000,179.0
CJ Jordan,england,29.0,6.2,bowler,right-handed-bat,right-arm-fast-medium,25,439,13.72,129.12,0,31,21,3,81,8.1,105.2,0,3,3,108,8.74,26.35,18.08,30,9.61,35.67,22.27,sunrisers-hyderabad,2017,5000000,375.0
Mohammad Nabi,afghanistan,32.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,25,2237,22.6,136.24,6,156,109,3,215,13.44,143.34,0,18,11,97,7.31,28.14,23.11,15,7.44,34.47,27.8,sunrisers-hyderabad,2017,3000000,376.0
B Laughlin,australia,35.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,5,2.5,38.47,0,0,0,2,9.97,59.0,35.5,10,10.13,28.2,16.7,sunrisers-hyderabad,2017,3000000,2.0
PV Tambe,india,46.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,4,18,9.0,46.16,0,1,0,0,0.0,0.0,0.0,28,7.75,30.46,23.57,sunrisers-hyderabad,2017,1000000,133.0
MA Agarwal,india,22.0,,batsman,left-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,sunrisers-hyderabad,2017,1000000,379.0
DM Bravo,west indies,35.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,17,1255,22.02,115.14,4,73,55,44,1560,22.61,129.57,5,121,66,78,8.12,26.1,19.29,183,8.39,23.83,17.04,chennai-super-kings,2018,64000000,380.0
KV Sharma,india,31.0,,bowler,left-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,14,351,13.5,119.39,0,20,17,1,7.0,28.0,24.0,76,8.38,27.46,19.67,chennai-super-kings,2018,50000000,154.0
SR Watson,australia,37.0,6.00423,batting-allrounder,right-handed-bat,right-arm-fast-medium,6,1462,29.24,145.33,10,115,83,16,3874,30.99,137.92,21,376,190,48,7.66,24.73,19.38,92,7.93,29.15,22.05,chennai-super-kings,2018,40000000,304.0
SN Thakur,india,27.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,3,69,23.0,181.58,0,5,4,12,307,12.28,138.92,1,27,13,33,9.15,23.39,15.33,94,9.23,30.52,19.85,chennai-super-kings,2018,26000000,82.0
M Vijay,india,34.0,,batsman,right-handed-bat,right-arm-offbreak,0,169,18.78,109.75,0,13,8,5,2619,25.93,121.88,13,247,91,0,4.5,0.0,0.0,0,8.17,0.0,0.0,chennai-super-kings,2018,20000000,50.0
Harmeet Singh,india,38.0,,bowler,right-handed-bat,right-arm-offbreak,5,108,13.5,124.14,0,11,4,35,833,15.15,137.92,1,79,42,25,6.21,25.32,24.48,150,7.08,26.87,22.77,chennai-super-kings,2018,20000000,385.0
F du Plessis,south africa,34.0,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166,0,2.25,0.0,0.0,0,16.0,0.0,0.0,chennai-super-kings,2018,16000000,34.0
SW Billings,england,27.0,,wk-batsman,right-handed-bat,,5,478,17.07,129.9,2,41,16,1,503,19.35,129.64,3,40,20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2018,10000000,240.0
Imran Tahir,south africa,39.0,,bowler,right-handed-bat,right-arm-legbreak,3,19,19.0,105.56,0,1,1,5,33,8.25,89.19,0,5,0,63,6.73,15.05,13.41,82,7.76,20.77,16.05,chennai-super-kings,2018,10000000,388.0
DL Chahar,india,26.0,,bowler,right-handed-bat,right-arm-fast-medium,5,53,26.5,189.29,0,4,4,6,80,11.43,135.6,0,2,6,31,8.3,24.1,17.42,77,7.98,28.84,21.68,chennai-super-kings,2018,8000000,299.0
MJ Santner,new zealand,26.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,31,725,16.86,120.24,1,55,24,5,70,11.67,98.6,0,4,3,120,7.04,22.18,18.9,15,6.92,28.13,24.4,chennai-super-kings,2018,5000000,390.0
L Ngidi,south africa,22.0,,bowler,right-handed-bat,right-arm-fast,8,41,8.2,78.85,0,4,0,0,0,0.0,0.0,0,0,0,63,9.24,20.95,13.6,25,8.3,17.92,12.96,chennai-super-kings,2018,5000000,391.0
KM Asif,india,25.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7,10.42,33.0,19.0,chennai-super-kings,2018,4000000,392.0
N Jagadeesan,india,23.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,1,162,18.0,110.21,0,21,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2018,2000000,393.0
Mandeep Singh,india,28.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2018,2000000,395.0
DR Shorey,india,26.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,13,6.5,76.48,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2018,2000000,396.0
KV Sharma,india,28.0,,batsman,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2018,2000000,397.0
Ravi Bishnoi,united states of america,24.0,,batting-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2018,2000000,398.0
K Rabada,south africa,23.0,,bowler,left-handed-bat,right-arm-fast,15,156,17.33,110.64,0,14,5,14,206,12.12,106.74,0,16,8,71,8.3,27.15,19.62,117,8.48,21.97,15.54,delhi-capitals,2018,42000000,322.0
A Mishra,india,36.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,25,381,11.91,90.94,0,31,5,16,6.32,15.0,14.25,174,7.38,23.82,19.37,delhi-capitals,2018,40000000,132.0
S Nadeem,india,29.0,,bowler,right-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,8,39,2.79,44.83,0,2,0,0,0.0,0.0,0.0,48,7.56,37.17,29.48,delhi-capitals,2018,32000000,63.0
V Shankar,india,27.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,delhi-capitals,2018,32000000,44.0
R Tewatia,india,25.0,,batting-allrounder,left-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,25,1013,25.33,134.71,1,84,47,0,0.0,0.0,0.0,32,7.91,34.72,26.34,delhi-capitals,2018,30000000,130.0
Mohammed Shami,india,28.0,,bowler,right-handed-bat,right-arm-fast,3,7,3.5,70.0,0,0,1,12,74,5.69,93.68,0,6,2,27,8.95,28.19,18.89,127,8.44,26.86,19.1,delhi-capitals,2018,30000000,51.0
G Gambhir,india,37.0,,batsman,left-handed-bat,right-arm-legbreak,2,932,27.41,119.03,7,109,10,16,4218,31.01,123.92,36,491,59,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2018,28000000,405.0
C Munro,new zealand,31.0,,batsman,left-handed-bat,right-arm-medium,7,1724,31.35,156.45,11,132,107,0,177,14.75,125.54,0,19,8,4,9.46,46.5,29.5,0,7.5,0.0,0.0,delhi-capitals,2018,19000000,406.0
DT Christian,australia,35.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,118,14.75,126.89,0,7,6,9,460,14.38,115.58,0,23,19,13,8.56,30.62,21.46,38,8.1,31.37,23.24,delhi-capitals,2018,15000000,26.0
JJ Roy,england,28.0,,batsman,right-handed-bat,,0,1522,23.78,137.62,8,153,69,2,614,32.32,138.61,4,75,21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2018,15000000,330.0
NV Ojha,india,35.0,,wk-batsman,right-handed-bat,,0,12,6.0,44.45,0,2,0,19,1554,20.72,118.36,6,121,79,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2018,14000000,163.0
PP Shaw,india,19.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,1892,23.95,147.47,14,238,61,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2018,12000000,410.0
Arshad Khan,india,22.0,,bowler,right-handed-bat,right-arm-fast,3,27,13.5,135.0,0,3,1,8,41,20.5,164.0,0,3,3,27,9.04,27.85,18.48,74,8.87,26.68,18.04,delhi-capitals,2018,7000000,412.0
J Yadav,india,28.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,1,40,10.0,111.12,0,2,1,0,0.0,0.0,0.0,8,6.85,55.63,48.75,delhi-capitals,2018,5000000,66.0
HV Patel,india,28.0,,bowler,right-handed-bat,right-arm-fast-medium,4,77,12.83,135.09,0,9,3,15,249,9.22,122.67,0,16,15,29,9.18,26.55,17.34,135,8.74,23.33,16.01,delhi-capitals,2018,2000000,142.0
S Lamichhane,nepal,18.0,,bowler,right-handed-bat,right-arm-legbreak,9,74,6.17,90.25,0,3,2,0,0,0.0,0.0,0,0,0,108,6.15,12.52,12.21,13,8.34,22.46,16.15,delhi-capitals,2018,2000000,415.0
KL Rahul,india,26.0,,wk-batsman,right-handed-bat,,8,2265,37.75,139.13,22,191,99,20,4683,45.47,134.61,37,400,187,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2018,110000000,159.0
R Ashwin,india,32.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,12,184,26.29,115.0,0,17,4,34,800,13.33,118.52,1,61,28,72,6.91,23.22,20.17,180,7.12,29.83,25.13,punjab-kings,2018,76000000,418.0
AJ Tye,australia,32.0,,bowler,right-handed-bat,right-arm-fast-medium,7,83,10.38,109.22,0,5,4,4,91,10.11,119.74,0,6,5,47,8.76,21.21,14.53,42,8.59,23.31,16.29,punjab-kings,2018,72000000,176.0
AJ Finch,australia,32.0,5.70894,batsman,right-handed-bat,left-arm-orthodox,12,3120,34.29,142.54,19,309,125,6,2091,24.89,128.21,15,214,78,0,13.5,0.0,0.0,1,9.35,67.0,43.0,punjab-kings,2018,62000000,153.0
MP Stoinis,australia,29.0,,batting-allrounder,right-handed-bat,right-arm-medium,22,1245,31.92,148.57,5,99,63,22,1866,28.27,142.01,9,150,91,45,8.73,24.24,16.67,43,9.52,29.63,18.67,punjab-kings,2018,62000000,189.0
KK Nair,india,27.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,5,1496,23.75,127.76,10,161,39,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2018,56000000,124.0
Mujeeb Ur Rahman,afghanistan,17.0,,bowler,right-handed-bat,right-arm-offbreak,8,54,9.0,122.73,0,6,3,4,12,4.0,80.0,0,2,0,63,6.34,18.11,17.14,19,8.18,31.16,22.84,punjab-kings,2018,40000000,423.0
Arshdeep Singh,india,,,bowler,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2018,30000000,275.0
DA Miller,south africa,29.0,,batsman,left-handed-bat,,36,2593,33.24,140.78,8,168,130,43,2924,36.1,139.24,13,207,134,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2018,30000000,425.0
MM Sharma,india,30.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,punjab-kings,2018,24000000,37.0
