season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2018,KK Nair,Punjab Kings,58,27,214.81,5,4,33.33,7,25.93
2022,MP Stoinis,Lucknow Super Giants,111,62,179.03,6,10,25.81,21,33.87
2018,JJ Roy,Delhi Capitals,20,13,153.85,2,1,23.08,4,30.77
2021,JDS Neesham,Mumbai Indians,0,1,0.00,0,0,0.00,1,100.00
2021,TL Seifert,Kolkata Knight Riders,2,4,50.00,0,0,0.00,1,25.00
2017,AS Rajpoot,Kolkata Knight Riders,4,7,57.14,1,0,14.29,6,85.71
2018,AS Rajpoot,Punjab Kings,10,13,76.92,1,0,7.69,5,38.46
2016,SN Khan,Royal Challengers Bengaluru,57,23,247.83,6,4,43.48,5,21.74
2022,T Stubbs,Mumbai Indians,1,1,100.00,0,0,0.00,0,0.00
2019,S Lamichhane,Delhi Capitals,0,1,0.00,0,0,0.00,1,100.00
2024,Mayank Dagar,Royal Challengers Bengaluru,0,1,0.00,0,0,0.00,1,100.00
2016,R Ashwin,Lucknow Super Giants,12,13,92.31,0,1,7.69,7,53.85
2015,NV Ojha,Sunrisers Hyderabad,27,18,150.00,2,2,22.22,7,38.89
2020,Mohammed Siraj,Royal Challengers Bengaluru,17,14,121.43,2,0,14.29,4,28.57
2022,TH David,Mumbai Indians,114,46,247.83,4,13,36.96,11,23.91
2023,A Mishra,Lucknow Super Giants,13,12,108.33,2,0,16.67,5,41.67
2019,Y Prithvi Raj,Kolkata Knight Riders,0,1,0.00,0,0,0.00,1,100.00
2024,SD Hope,Delhi Capitals,7,7,100.00,0,0,0.00,2,28.57
2019,VR Aaron,Rajasthan Royals,3,7,42.86,0,0,0.00,4,57.14
2025,Shahbaz Ahmed,Lucknow Super Giants,9,8,112.50,1,0,12.50,2,25.00
2013,RA Jadeja,Chennai Super Kings,86,48,179.17,9,4,27.08,13,27.08
2018,Shakib Al Hasan,Sunrisers Hyderabad,52,32,162.50,6,2,25.00,12,37.50
2017,RA Tripathi,Lucknow Super Giants,8,6,133.33,0,1,16.67,3,50.00
2019,Washington Sundar,Royal Challengers Bengaluru,1,3,33.33,0,0,0.00,2,66.67
2024,TA Boult,Rajasthan Royals,14,16,87.50,2,0,12.50,9,56.25
2013,R Rampaul,Royal Challengers Bengaluru,29,28,103.57,2,1,10.71,13,46.43
