Unnamed: 0,id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,inflation,adj_price
457,781,Ishan Kishan,india,24.0,,wk-batsman,left-handed-bat,,1,796,25.68,124.38,6,79,36,6,2644,28.43,135.87,16,255,119,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Mumbai Indians,2022,152500000,1.183086132,180420635.2
586,880,BA Stokes,england,32.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,9,585,21.67,128.01,1,42,22,6,935,24.61,133.96,2,81,32,26,8.39,32.92,23.54,28,8.64,35.43,24.61,Chennai Super Kings,2023,162500000,1.10879675,180179471.9
606,370,TS Mills,england,25.0,,bowler,right-handed-bat,left-arm-fast,2,8,2.0,66.67,0,0,1,1,8,2.0,57.15,0,0,1,14,8.83,33.86,23.0,11,9.85,31.18,19.0,Royal Challengers Bengaluru,2017,120000000,1.492346163,179081539.6
578,900,N Pooran,west indies,28.0,,wk-batsman,left-handed-bat,right-arm-offbreak,10,2275,26.15,136.4,13,152,149,18,1769,32.16,162.3,9,112,127,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Lucknow Super Giants,2023,160000000,1.10879675,177407480.0
833,663,JA Richardson,australia,25.0,,bowler,right-handed-bat,right-arm-fast,5,45,15.0,88.24,0,3,1,0,17,5.67,65.39,0,2,0,19,8.42,29.26,20.84,3,10.47,52.33,30.0,Punjab Kings,2021,140000000,1.243778451,174128983.1
101,218,KD Karthik,india,30.0,,wk-batsman,right-handed-bat,,22,686,26.38,142.62,1,71,28,50,4842,26.32,135.37,22,466,161,0,18.0,0.0,0.0,0,0.0,0.0,0.0,Royal Challengers Bengaluru,2015,105000000,1.6363864,171820572.0
35,473,JD Unadkat,india,27.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,Rajasthan Royals,2018,115000000,1.444252553,166089043.6
510,690,DL Chahar,india,30.0,,bowler,right-handed-bat,right-arm-fast-medium,5,53,26.5,189.29,0,4,4,6,80,11.43,135.6,0,2,6,31,8.3,24.1,17.42,77,7.98,28.84,21.68,Chennai Super Kings,2022,140000000,1.183086132,165632058.5
348,418,KL Rahul,india,26.0,,wk-batsman,right-handed-bat,,8,2265,37.75,139.13,22,191,99,20,4683,45.47,134.61,37,400,187,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Punjab Kings,2018,110000000,1.444252553,158867780.8
104,50,KP Pietersen,england,34.0,6.4,batsman,right-handed-bat,right-arm-offbreak,5,1176,37.94,141.52,7,119,32,8,1001,35.75,134.73,4,91,40,1,10.6,53.0,30.0,7,7.41,30.71,24.86,Delhi Capitals,2014,90000000,1.745533373,157098003.5
516,305,SR Watson,australia,35.0,6.00423,batting-allrounder,right-handed-bat,right-arm-fast-medium,6,1462,29.24,145.33,10,115,83,16,3874,30.99,137.92,21,376,190,48,7.66,24.73,19.38,92,7.93,29.15,22.05,Royal Challengers Bengaluru,2016,95000000,1.55980021,148181019.9
910,949,DJ Mitchell,new zealand,33.0,,batting-allrounder,right-handed-bat,right-arm-medium,13,1411,26.62,139.29,8,98,53,2,351,27.0,131.47,2,28,10,9,10.6,21.0,11.89,1,12.13,97.0,48.0,Chennai Super Kings,2024,140000000,1.0495,146930000.0
974,937,HC Brook,england,24.0,,batsman,right-handed-bat,right-arm-medium,9,798,28.5,146.16,4,65,34,2,190,21.11,123.38,0,23,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Sunrisers Hyderabad,2023,132500000,1.10879675,146915569.4
200,437,CA Lynn,australia,28.0,,batsman,right-handed-bat,left-arm-orthodox,1,291,19.4,131.68,0,28,14,3,1329,34.08,140.64,10,132,66,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Kolkata Knight Riders,2018,96000000,1.444252553,138648245.1
749,806,LS Livingstone,england,29.0,,batting-allrounder,right-handed-bat,right-arm-legbreak,9,955,25.13,148.99,2,54,59,6,939,28.45,162.46,6,66,66,33,8.73,25.39,17.45,11,9.14,35.73,23.45,Punjab Kings,2022,115000000,1.183086132,136054905.2
1044,621,CH Morris,south africa,33.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.4,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,Royal Challengers Bengaluru,2020,100000000,1.326116584,132611658.4
99,234,P Negi,india,23.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,Delhi Capitals,2016,85000000,1.55980021,132583017.8
609,512,Rashid Khan,afghanistan,20.0,,bowling-allrounder,right-handed-bat,right-arm-legbreak,25,467,13.74,126.22,0,31,28,23,545,14.73,161.73,1,39,38,161,6.08,13.8,13.61,149,6.82,21.83,19.19,Sunrisers Hyderabad,2018,90000000,1.444252553,129982729.8
174,710,SN Thakur,india,31.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,3,69,23.0,181.58,0,5,4,12,307,12.28,138.92,1,27,13,33,9.15,23.39,15.33,94,9.23,30.52,19.85,Delhi Capitals,2022,107500000,1.183086132,127181759.2
309,840,HV Patel,india,32.0,,bowler,right-handed-bat,right-arm-fast-medium,4,77,12.83,135.09,0,9,3,15,249,9.22,122.67,0,16,15,29,9.18,26.55,17.34,135,8.74,23.33,16.01,Royal Challengers Bengaluru,2022,107500000,1.183086132,127181759.2
