season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2013,AM Nayar,Lucknow Super Giants,1,6,7.0,3,50.0,1,16.67,0.0901259180409922,0.2970445911091023,0.5382984346534175,0.2670055854366938,0.0947549948156237,0.7478320634105298,powerplay,AM Nayar,2013,83114359.61769001,0.8997627688529547,0.008859174763406525
2013,CH Morris,Chennai Super Kings,4,108,8.67,49,45.37,23,21.3,0.2809043870637742,0.3718156113504669,0.493576328025983,0.3295095362819778,0.3176197660718272,0.9706968346667332,powerplay,CH Morris,2013,76957740.38675001,1.261337494823146,0.012419283936943849
2013,DJG Sammy,Sunrisers Hyderabad,0,24,9.75,8,33.33,5,20.83,0.0265330950333983,0.4201705226442835,0.3772795323900627,0.3231646427836445,-0.1217346876117543,0.5313423809831517,powerplay,DJG Sammy,2013,52331263.46299,1.0153440712528,0.009997202466695176
2013,DP Nannes,Chennai Super Kings,2,48,5.63,21,43.75,4,8.33,0.1537187410485862,0.2357054906715757,0.4779284203075286,0.1544174752747783,0.2252203972743944,0.8782974658693005,powerplay,DP Nannes,2013,73879430.77128,1.1888254372023817,0.01170532130906639
2013,DT Christian,Royal Challengers Bengaluru,0,24,6.75,11,45.83,3,12.5,0.0265330950333983,0.285851324605904,0.4980195610818404,0.2107115303557361,0.0041375425005503,0.6572146110954564,powerplay,DT Christian,2013,12313238.46188,5.337463520503541,0.05255332156244801
2013,J Botha,Delhi Capitals,1,24,7.5,11,45.83,4,16.67,0.0901259180409922,0.3194311241154989,0.4980195610818404,0.2670055854366938,0.0714780662409523,0.7245551348358583,powerplay,J Botha,2013,55409573.07846001,1.3076352958177238,0.012875137773500418
2013,JD Unadkat,Royal Challengers Bengaluru,5,90,6.27,41,45.56,13,14.44,0.3444972100713681,0.2643602529197633,0.4954115764620981,0.2369010907531121,0.4858089434351775,1.1388860120300834,powerplay,JD Unadkat,2013,64644501.92487001,1.7617677886260144,0.017346582090605307
2013,JDP Oram,Mumbai Indians,0,6,3.0,4,66.67,0,0.0,0.0265330950333983,0.1179523270579297,0.6993173369167724,0.0419643628468699,0.1822258075267903,0.8353028761216964,powerplay,JDP Oram,2013,6156619.23094,13.567557855842278,0.13358784150489705
2013,JO Holder,Chennai Super Kings,2,84,9.21,36,42.86,20,23.81,0.1537187410485862,0.3959930669973752,0.469331730264674,0.3633939675177581,0.1007023036500423,0.7537793722449484,powerplay,JO Holder,2013,2462647.6923760003,30.608494043973074,0.3013749927949741
2013,JP Faulkner,Rajasthan Royals,7,162,5.81,86,53.09,22,13.58,0.4716828560865561,0.2437646425538785,0.568145369746025,0.2252912856285021,0.711027316651002,1.364104385245908,powerplay,JP Faulkner,2013,49252953.84752,2.76958898641689,0.02726971342096402
2013,KW Richardson,Lucknow Super Giants,1,36,7.17,20,55.56,7,19.44,0.0901259180409922,0.3046560123312772,0.5920035994155203,0.3043999577566585,0.0995819591691742,0.7526590277640802,powerplay,KW Richardson,2013,86192669.23316,0.8732285871412805,0.008597915950389196
2013,MC Henriques,Royal Challengers Bengaluru,5,96,7.75,43,44.79,19,19.79,0.3444972100713681,0.3306243906186972,0.4879739906946845,0.3091248784469068,0.4360008413167275,1.0890779099116337,powerplay,MC Henriques,2013,36939715.38564,2.948257447416618,0.02902890503846487
2013,MS Gony,Punjab Kings,0,24,10.5,9,37.5,9,37.5,0.0265330950333983,0.4537503221538784,0.4175584059616398,0.5482058653734684,-0.1714491698130434,0.4816278987818626,powerplay,MS Gony,2013,61566192.30940001,0.7822928147991491,0.007702551163900737
2013,NLTC Perera,Sunrisers Hyderabad,6,120,7.0,59,49.17,23,19.17,0.4080900330789621,0.2970445911091023,0.5302812967482835,0.300755018938467,0.5625461393006836,1.2156232078955895,powerplay,NLTC Perera,2013,83114359.61769001,1.4625910775072095,0.01440085143726702
2013,NM Coulter-Nile,Mumbai Indians,1,12,7.5,7,58.33,3,25.0,0.0901259180409922,0.3194311241154989,0.6187595897736181,0.3794586978646023,0.0852094523629039,0.7382865209578099,powerplay,NM Coulter-Nile,2013,55409573.07846001,1.332416909100519,0.013119140582453406
2013,R McLaren,Kolkata Knight Riders,1,24,15.25,8,33.33,12,50.0,0.0901259180409922,0.6664223857146458,0.3772795323900627,0.7169530328823345,-0.2282290626552826,0.4248480059396234,powerplay,R McLaren,2013,6156619.23094,6.900670481691574,0.06794484935170428
2013,SMSM Senanayake,Kolkata Knight Riders,4,120,5.4,53,44.17,11,9.17,0.2809043870637742,0.2254076854886333,0.4819852852715723,0.1657572849313741,0.4200968664465415,1.0731739350414475,powerplay,SMSM Senanayake,2013,76957740.38675001,1.394497719980118,0.013730395873375807
