id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
123,KW Richardson,australia,23.0,,bowler,right-handed-bat,right-arm-fast-medium,3,17,4.25,100.0,0,0,0,1,36,12.0,92.31,0,2,1,45,8.4,23.53,16.8,19,8.45,24.84,17.63,Rajasthan Royals,2014,10000000
18,KW Richardson,australia,22.0,,bowler,right-handed-bat,right-arm-fast-medium,3,17,4.25,100.0,0,0,0,1,36,12.0,92.31,0,2,1,45,8.4,23.53,16.8,19,8.45,24.84,17.63,Lucknow Super Giants,2013,40600000
122,AM Nayar,india,31.0,,batting-allrounder,left-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,12,672,17.68,116.47,0,55,20,0,0.0,0.0,0.0,9,8.44,35.78,25.44,Rajasthan Royals,2014,10000000
19,AM Nayar,india,30.0,,batting-allrounder,left-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,12,672,17.68,116.47,0,55,20,0,0.0,0.0,0.0,9,8.44,35.78,25.44,Lucknow Super Giants,2013,39150000
21,JP Faulkner,australia,23.0,6.10266,bowling-allrounder,right-handed-bat,left-arm-fast-medium,7,159,14.45,115.22,0,7,5,20,527,21.08,135.83,0,36,23,36,7.97,19.0,14.31,59,8.69,30.14,20.8,Rajasthan Royals,2013,23200000
1178,JD Unadkat,india,34.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,Sunrisers Hyderabad,2025,10000000
1013,JD Unadkat,india,33.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,Sunrisers Hyderabad,2024,16000000
908,JD Unadkat,india,32.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,Lucknow Super Giants,2023,5000000
786,JD Unadkat,india,31.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,Mumbai Indians,2022,13000000
612,JD Unadkat,india,29.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,Rajasthan Royals,2020,30000000
