season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2014,VR Aaron,Royal Challengers Bengaluru,34,28,121.43,2,1,10.71,9,32.14,0.076609117,0.200981463,0.152094078,0.613661078,-0.038058183,0.280698816,death,VR Aaron,2014,38740367.67,0.724564149
2018,S Gopal,Rajasthan Royals,37,33,112.12,4,0,12.12,10,30.3,0.069480856,0.160153512,0.204617484,0.621799463,-0.051673099,0.267083899,death,S Gopal,2018,2984692.326,8.948456665
2025,A Manohar,Sunrisers Hyderabad,31,21,147.62,2,2,19.05,8,38.1,0.021781349,0.26051123,0.261508902,0.703902906,-0.055427797,0.263329201,death,A Manohar,2025,33584000,0.784091238
2020,AT Carey,Delhi Capitals,31,28,110.71,0,1,3.57,6,21.43,0.05660987,0.139440723,0,0.439341619,-0.06072839,0.258028609,death,AT Carey,2020,33344936.29,0.773816469
2025,MJ Santner,Mumbai Indians,35,25,140,2,3,20,10,40,0.039206429,0.23481178,0.276019273,0.734198247,-0.062102484,0.256654515,death,MJ Santner,2025,20990000,1.222746616
2023,Sikandar Raza,Punjab Kings,34,27,125.93,2,1,11.11,10,37.04,0.062603862,0.215520029,0.171520321,0.692171578,-0.067569431,0.251187568,death,Sikandar Raza,2023,5915430.661,4.246310741
2014,MG Johnson,Punjab Kings,56,50,112,4,3,14,23,46,0.152543276,0.158142546,0.222243727,0.846705339,-0.070903124,0.247853875,death,MG Johnson,2014,125906194.9,0.196855981
2025,KH Pandya,Royal Challengers Bengaluru,31,24,129.17,5,0,20.83,9,37.5,0.021781349,0.198286183,0.288696756,0.694335956,-0.074557185,0.244199813,death,KH Pandya,2025,60346250,0.404664438
2017,CR Woakes,Kolkata Knight Riders,32,29,110.34,2,1,10.34,11,37.93,0.078365692,0.181127292,0.201218188,0.726577658,-0.077009407,0.241747591,death,CR Woakes,2017,65511608.8,0.36901489
2017,Basil Thampi,Gujarat Titans,28,28,100,1,1,7.14,9,32.14,0.056971427,0.145023305,0.154273041,0.629386343,-0.087383831,0.231373167,death,Basil Thampi,2017,13258301.78,1.745119181
2022,HV Patel,Royal Challengers Bengaluru,34,28,121.43,3,2,17.86,13,46.43,0.072118117,0.180030968,0.253910469,0.782932221,-0.08928977,0.229467228,death,HV Patel,2022,133706183.5,0.171620506
