season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2022,Mohsin Khan,Lucknow Super Giants,5,42,8.71,14,33.33,7,16.67,0.2801817133166239,0.2754184932842202,0.4299659443242415,0.23592733270911392,0.3683167561457861,0.9823460547248195,death,,,,
2015,R Dhawan,Punjab Kings,0,12,12.5,2,16.67,3,25.0,0.04496203496913795,0.4382766382481765,0.28350828336106865,0.34657248456209583,-0.12678686320587182,0.4872424353731616,death,,,,
2019,DL Chahar,Royal Challengers Bengaluru,1,6,9.0,2,33.33,1,16.67,0.07299501625697159,0.3086422911558173,0.4412021019151796,0.2588425038787815,0.04074348733404991,0.6547727859130833,death,,,,
2017,SN Thakur,Royal Challengers Bengaluru,2,6,10.0,2,33.33,1,16.67,0.16743821466244915,0.37316887591606934,0.4528350352389561,0.29290928476692946,0.14986749676885397,0.7638967953478875,death,,,,
2013,R Vinay Kumar,Delhi Capitals,0,6,17.0,0,0.0,3,50.0,0.03839363807293146,0.6172904635842774,0.1191740319850431,0.6168172868870678,-0.3386187047949212,0.27541059378411226,death,,,,
2017,Basil Thampi,Lucknow Super Giants,1,12,12.5,1,8.33,3,25.0,0.10303796550864269,0.4626806061539106,0.20215050801828102,0.374191000382692,-0.08212744190792351,0.5319018566711099,death,Basil Thampi,2017.0,13258301.7816,-0.6194416393651618
2020,JO Holder,Royal Challengers Bengaluru,2,12,5.0,3,25.0,0,0.0,0.1430651131101122,0.14502579846615204,0.39024018054160986,0.07838771225453701,0.2501430907648293,0.8641723893438628,death,,,,
2014,A Nehra,Chennai Super Kings,4,18,7.33,7,38.89,3,16.67,0.27827936956530475,0.2675595395994297,0.5124818622826302,0.2748793161781329,0.3816760023395344,0.9957053009185679,death,A Nehra,2014.0,38740367.673999995,0.9852152296316239
2020,K Rabada,Royal Challengers Bengaluru,1,12,8.0,5,41.67,2,16.67,0.08502888059497966,0.2539189109780594,0.5971488859899008,0.25267578757834286,0.1293176860247131,0.7433469846037466,death,,,,
2022,Lalit Yadav,Delhi Capitals,1,12,11.0,5,41.67,2,16.67,0.06753133168965963,0.3527005365428498,0.5083766034685527,0.23592733270911392,0.0419515641451812,0.6559808627242146,death,Lalit Yadav,2022.0,8084559.9302,0.5189096810139346
2016,M Ashwin,Lucknow Super Giants,0,15,6.8,7,46.67,2,13.33,0.02497897366775858,0.24273703025318574,0.6004813352657212,0.24313593690909457,0.04757726790735156,0.661606566486385,death,M Ashwin,2016.0,73637387.9955,0.06461020576973618
2024,M Pathirana,Chennai Super Kings,4,54,9.11,17,31.48,11,20.37,0.17590466393525273,0.24182216414675192,0.4352901439947165,0.24180238380368294,0.22517445830148836,0.8392037568805217,death,,,,
2017,P Negi,Royal Challengers Bengaluru,4,12,3.5,6,50.0,0,0.0,0.29623871297006205,0.1404383772976823,0.6199914779897023,0.13024827644582967,0.5351056789991818,1.1491349775782154,death,P Negi,2017.0,15598002.096,3.430603969058357
2023,I Sharma,Royal Challengers Bengaluru,0,6,14.0,0,0.0,2,33.33,0.03293407072432839,0.49841592891374376,0.0819156862189863,0.4443181349011363,-0.25868600008364995,0.3553432984953835,death,I Sharma,2023.0,5915430.661499999,-4.373071292463665
2023,K Gowtham,Lucknow Super Giants,0,6,4.0,2,33.33,0,0.0,0.03293407072432839,0.07991734747471661,0.4579177260443439,0.048010568027550334,0.140406314501644,0.7544356130806774,death,,,,
2020,AD Russell,Royal Challengers Bengaluru,0,12,17.0,2,16.67,3,25.0,0.026992648079847133,0.5805982485137817,0.28684788801705896,0.3397675492728421,-0.2076262256624769,0.40640307291655653,death,,,,
2022,Ravi Bishnoi,Lucknow Super Giants,2,18,10.67,5,27.78,5,27.78,0.12069392709640071,0.3415638228854927,0.377786189138279,0.33779757550149186,0.05641194558144012,0.6704412441604736,death,,,,
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,0,6,19.0,0,0.0,3,50.0,0.03293407072432839,0.7076652196332572,0.0819156862189863,0.6425313704181684,-0.401849687026565,0.21217961155246845,death,,,,
2016,DJ Bravo,Royal Challengers Bengaluru,0,6,30.0,0,0.0,4,66.67,0.02497897366775858,0.9999999998419707,0.1063156948786746,0.736779095445384,-0.5516705596051632,0.06235873897387023,death,,,,
2019,HH Pandya,Punjab Kings,1,12,15.0,2,16.67,4,33.33,0.07299501625697159,0.51679232469402,0.27070995933506037,0.42769470812119326,-0.1443198301279905,0.46970946845104294,death,,,,
2017,UT Yadav,Lucknow Super Giants,1,6,12.0,1,16.67,1,16.67,0.10303796550864269,0.44477826010634236,0.2857788662990982,0.29290928476692946,-0.025493481319922295,0.5885358172591111,death,,,,
2019,HF Gurney,Kolkata Knight Riders,1,24,11.75,7,29.17,8,33.33,0.07299501625697159,0.40404438986082686,0.39863023438016787,0.42769470812119326,-0.06084457368118096,0.5531847248978525,death,HF Gurney,2019.0,10831894.1475,-0.5617168415112685
2016,Sandeep Sharma,Gujarat Titans,1,12,6.5,5,41.67,1,8.33,0.11605058023805889,0.23294483668091695,0.5475387982626093,0.19686267495406182,0.18610077267728575,0.8001300712563192,death,,,,
2013,BAW Mendis,Lucknow Super Giants,0,6,7.0,2,33.33,1,16.67,0.03839363807293146,0.27607124336526956,0.4181145578485978,0.2893081448316538,-0.014196116331627429,0.599833182247406,death,,,,
2019,Mohammed Siraj,Punjab Kings,0,12,11.0,1,8.33,3,25.0,0.01969513567294069,0.3780256356685515,0.18536155182496467,0.3432686059999873,-0.1690396670105164,0.444989631568517,death,,,,
2025,Mohammed Siraj,Gujarat Titans,6,72,10.25,22,30.56,18,25.0,0.30043811394604614,0.31698913867221806,0.4243048672765156,0.3139111792935146,0.35697962184508225,0.9710089204241157,death,,,,
2013,SP Narine,Kolkata Knight Riders,6,102,7.06,38,37.25,13,12.75,0.3739602263400329,0.27811855868658364,0.4532734795823253,0.25078921783323727,0.5104381945601424,1.1244674931391758,death,,,,
2017,AF Milne,Lucknow Super Giants,0,12,11.0,3,25.0,3,25.0,0.03863771635483625,0.4089735680112058,0.36930695076902714,0.374191000382692,-0.1070980675563274,0.506931231022706,death,,,,
2020,JD Unadkat,Rajasthan Royals,3,42,13.14,8,19.05,11,26.19,0.20110134562524473,0.4404891104151275,0.3163885430240735,0.35220922951491346,0.11471016832456407,0.7287394669035975,death,JD Unadkat,2020.0,41681170.359,0.2752086069958333
2016,UT Yadav,Royal Challengers Bengaluru,1,12,20.5,2,16.67,7,58.33,0.11605058023805889,0.6899138700534596,0.28282611324704976,0.6595952945043894,-0.2149204320414974,0.399108866537536,death,,,,
2024,NT Ellis,Punjab Kings,0,6,8.0,4,66.67,2,33.33,0.0,0.19385717686669157,0.9218803653153668,0.3956442539114753,0.0803279626744908,0.6943572612535243,death,,,,
2016,BCJ Cutting,Gujarat Titans,1,6,10.0,2,33.33,2,33.33,0.11605058023805889,0.34718709502405265,0.4592306465414186,0.42822898472922555,0.044501530891125185,0.6585308294701586,death,BCJ Cutting,2016.0,8181931.9995,0.543900033559857
