name,matched_name
prasidh krishna,M Prasidh Krishna
washington sundar,Washington Sundar
sherfane rutherford,SE Rutherford
gerald coetzee,G Coetzee
glenn phillips,GD Phillips
ravisrinivasan sai kishore,R Sai Kishore
mahipal lomror,MK Lomror
gurnoor brar,Gurnoor Brar
arshad khan,Arshad Khan
karim janat,Karim Janat
jayant yadav,J Yadav
ishant sharma,I Sharma
kumar kushagra,Kumar Kushagra
kulwant khejroliya,K Khejroliya
manav suthar,MJ Suthar
anuj rawat,Anuj Rawat
venkatesh iyer,VR Iyer
anrich nortje,A Nortje
quinton de kock,Q de Kock
angkrish raghuvanshi,A Raghuvanshi
spencer johnson,SH Johnson
moeen ali,MM Ali
rahmanullah gurbaz,Rahmanullah Gurbaz
vaibhav arora,VG Arora
ajinkya rahane,AM Rahane
rovman powell,R Powell
umran malik,Umran Malik
anukul roy,AS Roy
mayank markande,M Markande
rishabh pant,RR Pant
avesh khan,Arshad Khan
akash deep,Akash Deep
david miller,DA Miller
abdul samad,Abdul Samad
mitchell marsh,MR Marsh
shahbaz ahmed,Shahbaz Ahmed
aiden markram,AK Markram
matthew breetzke,MP Breetzke
shamar joseph,S Joseph
manimaran siddharth,M Siddharth
arshin kulkarni,AA Kulkarni
rs hangargekar,RS Hangargekar
prince yadav,Prince Yadav
akash maharaj singh,Arshdeep Singh
digvesh singh,Gurkeerat Singh
himmat singh,Harmeet Singh
deepak chahar,DL Chahar
will jacks,WG Jacks
naman dhir,Naman Dhir
mitchell santner,MJ Santner
ryan rickelton,RD Rickelton
lizaad williams,LB Williams
reece topley,RJW Topley
robin minz,R Minz
karn sharma,KV Sharma
vignesh puthur,V Puthur
arjun tendulkar,Arjun Tendulkar
penmetsa raju,PVSN Raju
raj bawa,RA Bawa
ashwani kumar,Ashwani Kumar
yuzvendra chahal,YS Chahal
arshdeep singh,Arshdeep Singh
marcus stoinis,MP Stoinis
marco jansen,M Jansen
priyansh arya,Priyansh Arya
josh inglis,JP Inglis
azmatullah omarzai,Azmatullah Omarzai
lockie ferguson,LH Ferguson
vijaykumar vyshak,Vijaykumar Vyshak
yash thakur,Yash Thakur
vishnu vinod,Vishnu Vinod
xavier bartlett,XC Bartlett
praveen dubey,P Dubey
suryansh shedge,Suryansh Shedge
musheer khan,M Shahrukh Khan
tushar deshpande,TU Deshpande
maheesh theekshana,M Theekshana
nitish rana,N Rana
fazalhaq farooqi,Fazalhaq Farooqi
kwena maphaka,KT Maphaka
akash madhwal,Akash Madhwal
vaibhav suryavanshi,V Suryavanshi
shubham dubey,SB Dubey
ashok sharma,Abhishek Sharma
kunal singh rathore,KS Rathore
josh hazlewood,JR Hazlewood
philip salt,PD Salt
jitesh sharma,JM Sharma
bhuvneshwar kumar,B Kumar
liam livingstone,LS Livingstone
rasikh dar salam,Rasikh Salam
krunal pandya,KH Pandya
tim david,TH David
jacob bethell,JG Bethell
suyash sharma,Sandeep Sharma
devdutt padikkal,D Padikkal
nuwan thushara,N Thushara
romario shepherd,R Shepherd
lungi ngidi,L Ngidi
swapnil singh,Simarjeet Singh
mohit rathee,Mohit Rathee
abhinandan singh,Arshdeep Singh
manoj bhandage,MS Bhandage
ishan kishan,Ishan Kishan
mohammed shami,Mohammed Shami
harshal patel,HV Patel
abhinav manohar,A Manohar
rahul chahar,RD Chahar
adam zampa,A Zampa
simarjeet singh,Simarjeet Singh
eshan malinga,E Malinga
jaydev unadkat,JD Unadkat
zeeshan ansari,Zeeshan Ansari
sachin baby,Sachin Baby
aniket verma,Aniket Verma
atharva taide,Atharva Taide
