name,team,year,price
ashok dinda,royal-challengers-bengaluru,2014,15000000
parthiv patel,royal-challengers-bengaluru,2014,14000000
muttiah muralitharan,royal-challengers-bengaluru,2014,10000000
ravi rampaul,royal-challengers-bengaluru,2014,9000000
nic maddinson,royal-challengers-bengaluru,2014,5000000
harshal patel,royal-challengers-bengaluru,2014,4000000
abu nechim,royal-challengers-bengaluru,2014,3000000
sachin rana,royal-challengers-bengaluru,2014,2000000
shadab jakati,royal-challengers-bengaluru,2014,2000000
sandeep warrier,royal-challengers-bengaluru,2014,1000000
tanmay mishra,royal-challengers-bengaluru,2014,1000000
yogesh takawale,royal-challengers-bengaluru,2014,1000000
yuzvendra chahal,royal-challengers-bengaluru,2014,1000000
david warner,sunrisers-hyderabad,2014,55000000
amit mishra,sunrisers-hyderabad,2014,47500000
bhuvneshwar kumar,sunrisers-hyderabad,2014,42500000
aaron finch,sunrisers-hyderabad,2014,40000000
karn sharma,sunrisers-hyderabad,2014,37500000
daren sammy,sunrisers-hyderabad,2014,35000000
ishant sharma,sunrisers-hyderabad,2014,26000000
irfan pathan,sunrisers-hyderabad,2014,24000000
moises henriques,sunrisers-hyderabad,2014,10000000
kl rahul,sunrisers-hyderabad,2014,10000000
parvez rasool,sunrisers-hyderabad,2014,9500000
jason holder,sunrisers-hyderabad,2014,7500000
venugopal rao,sunrisers-hyderabad,2014,5500000
naman ojha,sunrisers-hyderabad,2014,5000000
brendan taylor,sunrisers-hyderabad,2014,3000000
prasanth parameswaran,sunrisers-hyderabad,2014,3000000
amit paunikar,sunrisers-hyderabad,2014,2000000
ashish reddy,sunrisers-hyderabad,2014,2000000
srikkanth anirudha,sunrisers-hyderabad,2014,2000000
ricky bhui,sunrisers-hyderabad,2014,1000000
chama v milind,sunrisers-hyderabad,2014,1000000
manprit juneja,sunrisers-hyderabad,2014,1000000
michael hussey,chennai-super-kings,2015,15000000
irfan pathan,chennai-super-kings,2015,15000000
rahul sharma,chennai-super-kings,2015,3000000
kyle abbott,chennai-super-kings,2015,3000000
andrew tye,chennai-super-kings,2015,2000000
pratyush singh,chennai-super-kings,2015,1000000
ankush bains,chennai-super-kings,2015,1000000
eklavya dwivedi,chennai-super-kings,2015,1000000
yuvraj singh,delhi-capitals,2015,160000000
angelo mathews,delhi-capitals,2015,75000000
zaheer khan,delhi-capitals,2015,40000000
amit mishra,delhi-capitals,2015,35000000
gurinder sandhu,delhi-capitals,2015,17000000
jaydev unadkat,delhi-capitals,2015,11000000
domnic muthuswami,delhi-capitals,2015,7500000
albie morkel,delhi-capitals,2015,3000000
travis head,delhi-capitals,2015,3000000
marcus stoinis,delhi-capitals,2015,2500000
cm gautam,delhi-capitals,2015,2000000
srikar bharat,delhi-capitals,2015,1000000
kk jiyas,delhi-capitals,2015,1000000
murali vijay,punjab-kings,2015,30000000
nikhil naik,punjab-kings,2015,3000000
yogesh golwalkar,punjab-kings,2015,1000000
kc cariappa,kolkata-knight-riders,2015,24000000
james neesham,kolkata-knight-riders,2015,5000000
brad hogg,kolkata-knight-riders,2015,5000000
sheldon jackson,kolkata-knight-riders,2015,1500000
sumit narwal,kolkata-knight-riders,2015,1000000
vaibhav rawal,kolkata-knight-riders,2015,1000000
aaron finch,mumbai-indians,2015,32000000
pragyan ojha,mumbai-indians,2015,5000000
abhimanyu mithun,mumbai-indians,2015,3000000
mitchell mcclenaghan,mumbai-indians,2015,3000000
aiden blizzard,mumbai-indians,2015,3000000
hardik pandya,mumbai-indians,2015,1000000
akshay wakhare,mumbai-indians,2015,1000000
nitish rana,mumbai-indians,2015,1000000
siddhesh lad,mumbai-indians,2015,1000000
jagadeesha suchith,mumbai-indians,2015,1000000
chris morris,rajasthan-royals,2015,14000000
rusty theron,rajasthan-royals,2015,3000000
dinesh salunkhe,rajasthan-royals,2015,1000000
sagar trivedi,rajasthan-royals,2015,1000000
pardeep sahu,rajasthan-royals,2015,1000000
dinesh karthik,royal-challengers-bengaluru,2015,105000000
daren sammy,royal-challengers-bengaluru,2015,28000000
david wiese,royal-challengers-bengaluru,2015,28000000
sean abbott,royal-challengers-bengaluru,2015,10000000
adam milne,royal-challengers-bengaluru,2015,7000000
sarfaraz khan,royal-challengers-bengaluru,2015,5000000
jalaj saxena,royal-challengers-bengaluru,2015,1000000
shishir bhavane,royal-challengers-bengaluru,2015,1000000
praveen kumar,sunrisers-hyderabad,2015,22000000
kevin pietersen,sunrisers-hyderabad,2015,20000000
eoin morgan,sunrisers-hyderabad,2015,15000000
ravi bopara,sunrisers-hyderabad,2015,10000000
laxmi shukla,sunrisers-hyderabad,2015,3000000
prasanth padmanabhan,sunrisers-hyderabad,2015,1000000
hanuma vihari,sunrisers-hyderabad,2015,1000000
siddarth kaul,sunrisers-hyderabad,2015,1000000
pawan negi,delhi-capitals,2016,85000000
chris morris,delhi-capitals,2016,70000000
sanju samson,delhi-capitals,2016,42000000
carlos brathwaite,delhi-capitals,2016,42000000
karun nair,delhi-capitals,2016,40000000
rishabh pant,delhi-capitals,2016,19000000
joel paris,delhi-capitals,2016,3000000
sam billings,delhi-capitals,2016,3000000
chama v milind,delhi-capitals,2016,1000000
pratyush singh,delhi-capitals,2016,1000000
mahipal lomror,delhi-capitals,2016,1000000
khaleel ahmed,delhi-capitals,2016,1000000
akhil herwadkar,delhi-capitals,2016,1000000
pawan suyal,delhi-capitals,2016,1000000
praveen kumar,gujarat-titans,2016,35000000
dale steyn,gujarat-titans,2016,23000000
dinesh karthik,gujarat-titans,2016,23000000
dwayne smith,gujarat-titans,2016,23000000
dhawal kulkarni,gujarat-titans,2016,20000000
aaron finch,gujarat-titans,2016,10000000
eklavya dwivedi,gujarat-titans,2016,10000000
andrew tye,gujarat-titans,2016,5000000
ishan kishan,gujarat-titans,2016,3500000
jaydev shah,gujarat-titans,2016,2000000
shadab jakati,gujarat-titans,2016,2000000
pravin tambe,gujarat-titans,2016,2000000
pradeep sangwan,gujarat-titans,2016,2000000
amit mishra,gujarat-titans,2016,1000000
shivil koushik,gujarat-titans,2016,1000000
akshdeep nath,gujarat-titans,2016,1000000
sarabjit ladda,gujarat-titans,2016,1000000
umang sharma,gujarat-titans,2016,1000000
paras dogra,gujarat-titans,2016,1000000
mohit sharma,punjab-kings,2016,65000000
kyle abbott,punjab-kings,2016,21000000
kc cariappa,punjab-kings,2016,8000000
marcus stoinis,punjab-kings,2016,5500000
farhaan behardien,punjab-kings,2016,3000000
pardeep sahu,punjab-kings,2016,1000000
armaan jaffer,punjab-kings,2016,1000000
swapnil singh,punjab-kings,2016,1000000
jaydev unadkat,kolkata-knight-riders,2016,16000000
ankit singh,kolkata-knight-riders,2016,15000000
john hastings,kolkata-knight-riders,2016,13000000
jason holder,kolkata-knight-riders,2016,7000000
rajagopal sathish,kolkata-knight-riders,2016,2000000
manan sharma,kolkata-knight-riders,2016,1000000
jos buttler,mumbai-indians,2016,38000000
nathu singh,mumbai-indians,2016,32000000
tim southee,mumbai-indians,2016,25000000
krunal pandya,mumbai-indians,2016,20000000
kishore kamat,mumbai-indians,2016,14000000
deepak punia,mumbai-indians,2016,1000000
jitesh sharma,mumbai-indians,2016,1000000
mitchell marsh,lucknow-super-giants,2016,48000000
murugan ashwin,lucknow-super-giants,2016,45000000
ishant sharma,lucknow-super-giants,2016,38000000
kevin pietersen,lucknow-super-giants,2016,35000000
irfan pathan,lucknow-super-giants,2016,10000000
thisara perera,lucknow-super-giants,2016,10000000
rajat bhatia,lucknow-super-giants,2016,6000000
ashok dinda,lucknow-super-giants,2016,5000000
scott boland,lucknow-super-giants,2016,5000000
