season,team,batting_ROI,bowling_ROI,overall_ROI,
2024,Rajasthan Royals,,31.6897091,31.6897091,9
2024,Royal Challengers Bengaluru,,2.571285113,2.571285113,
2025,Chennai Super Kings,0.824852058,7.141136815,3.982994437,
2025,Delhi Capitals,3.031925112,13.39299964,8.212462377,
2025,Gujarat Titans,3.773340556,7.14138235,5.457361453,
2025,Kolkata Knight Riders,0.84631199,6.787583309,3.81694765,1
2025,Lucknow Super Giants,0.854444534,10.25989074,5.557167635,
2025,Mumbai Indians,1.201830696,15.00089623,8.101363462,3
2025,Punjab Kings,0.854204829,10.62531969,5.739762261,2
2025,Rajasthan Royals,2.576436107,3.225480766,2.900958437,
2025,Royal Challengers Bengaluru,0.538202657,2.851667591,1.694935124,1
2025,Sunrisers Hyderabad,7.054368807,8.795707992,7.925038399,
