season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2017,Harbhajan Singh,Mumbai Indians,16,16,100.0,0,1,6.25,5,31.25
2014,M Morkel,Kolkata Knight Riders,4,3,133.33,0,0,0.0,0,0.0
2017,UT Yadav,Kolkata Knight Riders,10,13,76.92,0,0,0.0,4,30.77
2018,SW Billings,Chennai Super Kings,49,26,188.46,3,3,23.08,4,15.38
2017,M Vohra,Kings XI Punjab,16,7,228.57,1,1,28.57,1,14.29
2013,CH Morris,Chennai Super Kings,13,11,118.18,0,0,0.0,2,18.18
2025,M Shahrukh Khan,Gujarat Titans,64,34,188.24,2,5,20.59,6,17.65
2017,SL Malinga,Mumbai Indians,7,3,233.33,0,1,33.33,1,33.33
2024,Mohammad Nabi,Mumbai Indians,12,14,85.71,0,1,7.14,5,35.71
2016,TG Southee,Mumbai Indians,27,14,192.86,1,2,21.43,3,21.43
2019,AM Rahane,Rajasthan Royals,17,15,113.33,0,0,0.0,2,13.33
2023,BA Stokes,Chennai Super Kings,6,4,150.0,1,0,25.0,1,25.0
2023,Lalit Yadav,Delhi Capitals,22,24,91.67,3,0,12.5,10,41.67
2025,J Overton,Chennai Super Kings,15,7,214.29,1,1,28.57,1,14.29
2013,IC Pandey,Pune Warriors,0,2,0.0,0,0,0.0,2,100.0
2016,JP Faulkner,Gujarat Lions,56,39,143.59,6,0,15.38,7,17.95
2018,CA Lynn,Kolkata Knight Riders,9,5,180.0,1,0,20.0,0,0.0
2023,TH David,Mumbai Indians,166,85,195.29,10,13,27.06,21,24.71
2015,KL Rahul,Sunrisers Hyderabad,32,17,188.24,2,2,23.53,5,29.41
2025,Dhruv Jurel,Rajasthan Royals,133,67,198.51,8,10,26.87,14,20.9
2024,Shivam Singh,Punjab Kings,2,3,66.67,0,0,0.0,1,33.33
2023,JC Archer,Mumbai Indians,4,4,100.0,0,0,0.0,1,25.0
2017,KA Pollard,Mumbai Indians,104,69,150.72,7,6,18.84,23,33.33
2021,FA Allen,Punjab Kings,1,3,33.33,0,0,0.0,2,66.67
2016,AM Rahane,Rising Pune Supergiants,30,17,176.47,2,2,23.53,3,17.65
2022,PJ Sangwan,Gujarat Titans,2,5,40.0,0,0,0.0,3,60.0
2019,SE Rutherford,Delhi Capitals,47,24,195.83,2,5,29.17,7,29.17
2016,R Bhatia,Rising Pune Supergiants,33,19,173.68,1,2,15.79,3,15.79
2017,YK Pathan,Kolkata Knight Riders,29,19,152.63,2,1,15.79,4,21.05
2025,MM Ali,Kolkata Knight Riders,0,2,0.0,0,0,0.0,2,100.0
2015,HV Patel,Royal Challengers Bangalore,19,12,158.33,0,2,16.67,4,33.33
2013,DT Christian,Royal Challengers Bangalore,2,2,100.0,0,0,0.0,1,50.0
2021,Rashid Khan,Sunrisers Hyderabad,77,62,124.19,8,2,16.13,27,43.55
2022,Kartik Tyagi,Sunrisers Hyderabad,7,5,140.0,1,0,20.0,2,40.0
2021,NT Ellis,Punjab Kings,17,14,121.43,0,1,7.14,4,28.57
2025,LS Livingstone,Royal Challengers Bengaluru,37,13,284.62,1,5,46.15,4,30.77
2019,C de Grandhomme,Royal Challengers Bangalore,11,20,55.0,0,0,0.0,10,50.0
2016,JJ Bumrah,Mumbai Indians,2,5,40.0,0,0,0.0,3,60.0
2014,PP Ojha,Mumbai Indians,4,8,50.0,0,0,0.0,2,25.0
2017,JJ Bumrah,Mumbai Indians,16,12,133.33,0,1,8.33,3,25.0
2019,BA Stokes,Rajasthan Royals,59,40,147.5,4,3,17.5,10,25.0
2024,MM Sharma,Gujarat Titans,0,1,0.0,0,0,0.0,1,100.0
2015,DJ Muthuswami,Delhi Daredevils,1,3,33.33,0,0,0.0,2,66.67
2025,R Sai Kishore,Gujarat Titans,4,7,57.14,0,0,0.0,3,42.86
2018,R Ashwin,Kings XI Punjab,68,43,158.14,4,4,18.6,11,25.58
2022,VR Iyer,Kolkata Knight Riders,0,1,0.0,0,0,0.0,1,100.0
2017,Ankit Soni,Gujarat Lions,7,9,77.78,0,1,11.11,5,55.56
2017,K Rabada,Delhi Daredevils,4,7,57.14,0,0,0.0,3,42.86
2020,Ishan Kishan,Mumbai Indians,71,29,244.83,2,8,34.48,5,17.24
2018,MJ McClenaghan,Mumbai Indians,11,7,157.14,1,1,28.57,4,57.14
2022,Harshit Rana,Kolkata Knight Riders,0,1,0.0,0,0,0.0,1,100.0
2025,Shashank Singh,Punjab Kings,202,100,202.0,17,11,28.0,18,18.0
2020,MP Stoinis,Delhi Capitals,99,55,180.0,10,4,25.45,9,16.36
2025,R Parag,Rajasthan Royals,44,25,176.0,2,4,24.0,9,36.0
2021,Arshdeep Singh,Punjab Kings,2,3,66.67,0,0,0.0,0,0.0
2018,A Dananjaya,Mumbai Indians,4,5,80.0,0,0,0.0,2,40.0
2014,KK Nair,Rajasthan Royals,24,10,240.0,3,1,40.0,2,20.0
2023,YBK Jaiswal,Rajasthan Royals,39,14,278.57,5,3,57.14,5,35.71
2025,L Ngidi,Royal Challengers Bengaluru,0,2,0.0,0,0,0.0,2,100.0
2025,MK Pandey,Kolkata Knight Riders,18,12,150.0,1,1,16.67,3,25.0
2017,RV Uthappa,Kolkata Knight Riders,16,11,145.45,1,1,18.18,4,36.36
2022,Q de Kock,Lucknow Super Giants,54,17,317.65,5,4,52.94,1,5.88
2025,Mustafizur Rahman,Delhi Capitals,0,1,0.0,0,0,0.0,1,100.0
2022,Kuldeep Yadav,Delhi Capitals,43,35,122.86,3,2,14.29,12,34.29
2020,D Padikkal,Royal Challengers Bangalore,0,4,0.0,0,0,0.0,3,75.0
2023,Arshdeep Singh,Punjab Kings,2,2,100.0,0,0,0.0,1,50.0
2017,DA Miller,Kings XI Punjab,29,19,152.63,2,2,21.05,8,42.11
2013,OA Shah,Rajasthan Royals,12,12,100.0,1,0,8.33,4,33.33
2021,Ravi Bishnoi,Punjab Kings,1,4,25.0,0,0,0.0,3,75.0
2019,AR Patel,Delhi Capitals,81,51,158.82,8,3,21.57,12,23.53
2016,STR Binny,Royal Challengers Bangalore,35,19,184.21,2,3,26.32,6,31.58
2013,KV Sharma,Sunrisers Hyderabad,31,27,114.81,1,1,7.41,7,25.93
2015,SR Watson,Rajasthan Royals,33,14,235.71,3,2,35.71,1,7.14
2020,DJ Hooda,Kings XI Punjab,59,36,163.89,4,3,19.44,7,19.44
2014,B Kumar,Sunrisers Hyderabad,1,4,25.0,0,0,0.0,2,50.0
2022,Shivam Mavi,Kolkata Knight Riders,0,1,0.0,0,0,0.0,1,100.0
2018,B Stanlake,Sunrisers Hyderabad,5,2,250.0,1,0,50.0,0,0.0
2025,Sameer Rizvi,Delhi Capitals,32,12,266.67,2,3,41.67,1,8.33
2024,R Sai Kishore,Gujarat Titans,13,6,216.67,0,2,33.33,2,33.33
2020,GJ Maxwell,Kings XI Punjab,40,26,153.85,6,0,23.08,8,30.77
2022,Shashank Singh,Sunrisers Hyderabad,42,23,182.61,3,3,26.09,8,34.78
2021,DT Christian,Royal Challengers Bangalore,11,14,78.57,1,0,7.14,7,50.0
2024,SH Johnson,Gujarat Titans,6,7,85.71,1,0,14.29,3,42.86
2019,KK Nair,Kings XI Punjab,1,3,33.33,0,0,0.0,2,66.67
2016,KA Pollard,Mumbai Indians,99,58,170.69,4,9,22.41,19,32.76
2020,S Dhawan,Delhi Capitals,70,45,155.56,6,2,17.78,10,22.22
2013,AL Menaria,Rajasthan Royals,1,2,50.0,0,0,0.0,1,50.0
2016,DR Smith,Gujarat Lions,9,5,180.0,0,1,20.0,1,20.0
2023,PBB Rajapaksa,Punjab Kings,1,2,50.0,0,0,0.0,1,50.0
2025,MP Stoinis,Punjab Kings,100,34,294.12,5,10,44.12,3,8.82
2024,UT Yadav,Gujarat Titans,10,11,90.91,0,1,9.09,6,54.55
2017,Mohammed Shami,Delhi Daredevils,28,19,147.37,4,1,26.32,8,42.11
2018,SN Thakur,Chennai Super Kings,15,5,300.0,3,0,60.0,0,0.0
2022,Anuj Rawat,Royal Challengers Bangalore,6,3,200.0,0,1,33.33,1,33.33
2023,LS Livingstone,Punjab Kings,79,28,282.14,3,9,42.86,7,25.0
2025,RK Singh,Kolkata Knight Riders,99,42,235.71,13,6,45.24,12,28.57
2021,Avesh Khan,Delhi Capitals,5,3,166.67,1,0,33.33,1,33.33
2020,AB de Villiers,Royal Challengers Bangalore,191,84,227.38,11,16,32.14,15,17.86
2016,Sachin Baby,Royal Challengers Bangalore,73,38,192.11,6,4,26.32,9,23.68
2021,AR Patel,Delhi Capitals,20,20,100.0,0,1,5.0,6,30.0
2018,JJ Bumrah,Mumbai Indians,10,10,100.0,1,0,10.0,3,30.0
2021,KH Pandya,Mumbai Indians,59,43,137.21,5,3,18.6,16,37.21
2023,DJ Hooda,Lucknow Super Giants,13,8,162.5,2,0,25.0,2,25.0
2024,Lalit Yadav,Delhi Capitals,3,4,75.0,0,0,0.0,2,50.0
2022,SN Khan,Delhi Capitals,19,13,146.15,2,0,15.38,1,7.69
2016,UT Yadav,Kolkata Knight Riders,9,5,180.0,0,1,20.0,1,20.0
2023,I Sharma,Delhi Capitals,1,1,100.0,0,0,0.0,0,0.0
