season,player,team,runs,strike_rate,fours,sixes,boundary_pct,dot_pct,impact_score_pos,phase,adj_price,ROI_z
2025,Rahmanullah Gurbaz,Kolkata Knight Riders,57,196.55,7,3,34.48,31.03,0.752313567,bat_pp,20990000,0.04536874
2025,DP Conway,Chennai Super Kings,58,116,10,0,20,36,0.414353533,bat_pp,65593750,0.006449891
2023,RR Rossouw,Delhi Capitals,38,122.58,5,1,19.35,45.16,0.379452849,bat_pp,54421962.09,0.007313902
2020,JR Philippe,Royal Challengers Bengaluru,55,112.24,7,1,16.33,42.86,0.416486579,bat_pp,2778744.691,0.195696583
2025,N Rana,Rajasthan Royals,88,176,11,5,32,44,0.649659887,bat_pp,44079000,0.017551082
2018,BA Stokes,Rajasthan Royals,44,112.82,3,2,12.82,43.59,0.341559997,bat_pp,186543270.4,0.000536549
2022,DP Conway,Chennai Super Kings,84,112,6,4,13.33,36,0.492718868,bat_pp,12437784.51,0.050342464
2025,KL Rahul,Delhi Capitals,189,131.25,22,6,19.44,39.58,0.638998411,bat_pp,146930000,0.003855744
2025,RD Rickelton,Mumbai Indians,268,161.45,33,13,27.71,39.16,0.913237192,bat_pp,10495000,0.112826743
2022,N Rana,Kolkata Knight Riders,94,113.25,12,4,19.28,55.42,0.452142572,bat_pp,99502276.06,0.004112848
2016,KK Nair,Delhi Capitals,143,116.26,22,1,18.7,47.15,0.597710454,bat_pp,65455456,0.010160049
2021,MM Ali,Chennai Super Kings,78,109.86,11,3,19.72,54.93,0.416436996,bat_pp,92828160.9,0.004036477
2025,Washington Sundar,Gujarat Titans,30,214.29,3,2,35.71,21.43,0.822002861,bat_pp,33584000,0.030386904
2014,KD Karthik,Delhi Capitals,92,121.05,11,2,17.11,44.74,0.601956155,bat_pp,242127298,0.001400116
2014,MA Agarwal,Delhi Capitals,71,114.52,8,1,14.52,45.16,0.49244439,bat_pp,30992294.14,0.019067942
2018,WP Saha,Sunrisers Hyderabad,73,130.36,12,0,21.43,37.5,0.561240855,bat_pp,74617308.15,0.008037809
2025,JP Inglis,Punjab Kings,141,154.95,10,11,23.08,46.15,0.599584555,bat_pp,27287000,0.027087804
2018,SR Watson,Chennai Super Kings,233,140.36,13,19,19.28,45.78,0.827839778,bat_pp,59693846.52,0.016403677
2020,RV Uthappa,Rajasthan Royals,106,135.9,13,4,21.79,42.31,0.693775934,bat_pp,41681170.36,0.020063931
2022,B Sai Sudharsan,Gujarat Titans,37,123.33,4,1,16.67,33.33,0.468014488,bat_pp,2487556.902,0.246129353
2022,Abhishek Sharma,Sunrisers Hyderabad,245,139.2,35,4,22.16,40.34,0.997250567,bat_pp,6840781.479,0.190288351
2025,JG Bethell,Royal Challengers Bengaluru,40,190.48,4,3,33.33,38.1,0.652990814,bat_pp,27287000,0.029667764
2019,WP Saha,Sunrisers Hyderabad,68,170,11,1,30,27.5,0.802335586,bat_pp,17331030.64,0.059148024
2014,CA Pujara,Punjab Kings,64,101.59,11,0,17.46,50.79,0.437797885,bat_pp,36803349.29,0.013803565
2019,JM Bairstow,Sunrisers Hyderabad,195,142.34,28,4,23.36,39.42,0.838307743,bat_pp,31773556.17,0.032901729
2023,PN Mankad,Lucknow Super Giants,46,117.95,8,0,20.51,51.28,0.361080567,bat_pp,2366172.265,0.199279592
2018,M Vohra,Royal Challengers Bengaluru,38,131.03,2,2,13.79,34.48,0.439577572,bat_pp,16415807.79,0.033420938
2024,DJ Mitchell,Chennai Super Kings,129,146.59,13,4,19.32,29.55,0.67648301,bat_pp,155231545,0.003867473
2022,SA Yadav,Mumbai Indians,55,157.14,7,1,22.86,31.43,0.67600669,bat_pp,6218892.254,0.141412523
2022,Tilak Varma,Mumbai Indians,46,102.22,3,2,11.11,42.22,0.31493985,bat_pp,2487556.902,0.165013296
2018,Q de Kock,Royal Challengers Bengaluru,132,124.53,14,5,17.92,39.62,0.61655638,bat_pp,41785692.56,0.017573054
2024,RR Rossouw,Punjab Kings,82,157.69,16,1,32.69,46.15,0.590727857,bat_pp,88703740,0.006901492
2018,C Munro,Delhi Capitals,61,190.63,7,4,34.38,37.5,0.806007399,bat_pp,28354577.1,0.035593712
2014,DA Warner,Sunrisers Hyderabad,128,125.49,16,2,17.65,36.27,0.766243696,bat_pp,106536011.1,0.007603802
2025,Q de Kock,Kolkata Knight Riders,79,131.67,4,7,18.33,46.67,0.399026708,bat_pp,37782000,0.012044699
2019,SO Hetmyer,Royal Challengers Bengaluru,34,121.43,3,2,17.86,46.43,0.362453306,bat_pp,60658607.23,0.005999509
2014,RV Uthappa,Kolkata Knight Riders,302,143.81,39,8,22.38,35.71,1.318413872,bat_pp,96850919.19,0.016067177
2014,M Vijay,Delhi Capitals,89,82.41,9,1,9.26,50,0.33434004,bat_pp,96850919.19,0.002673478
2018,E Lewis,Mumbai Indians,242,151.25,26,13,24.38,43.75,0.933201275,bat_pp,56709154.19,0.019814914
2015,RG Sharma,Mumbai Indians,111,146.05,12,5,22.37,39.47,0.710838124,bat_pp,5236600.118,0.177059032
2023,SA Yadav,Mumbai Indians,72,124.14,7,1,13.79,31.03,0.464592037,bat_pp,2366172.265,0.256945446
2025,Priyansh Arya,Punjab Kings,318,193.9,39,16,33.54,31.71,1.170081163,bat_pp,39881000,0.03679762
2018,N Rana,Kolkata Knight Riders,107,125.88,11,5,18.82,47.06,0.532684749,bat_pp,50739769.54,0.011961754
2018,DJM Short,Rajasthan Royals,43,91.49,5,0,10.64,38.3,0.300706347,bat_pp,59693846.52,0.004763285
