name,delivery_name
kunal singh rathore,Harpreet Singh
murugan ashwin,Umran Malik
km asif,KM Asif
sonu yadav,J Yadav
himanshu sharma,Abhishek Sharma
avinash singh,Akash Singh
manoj bhandage,MS Bhandage
will jacks,WG Jacks
reece topley,RJW Topley
rajan kumar,Monu Kumar
sanvir singh,Sanvir Singh
harry brook,HC Brook
heinrich klaasen,H Klaasen
akeal hosein,AJ Hosein
mayank markande,Mayank Dagar
adil rashid,Rashid Khan
anmolpreet singh,Anmolpreet Singh
vivrant sharma,Vivrant Sharma
samarth vyas,Suyash Sharma
nitish kumar reddy,Nithish Kumar Reddy
mayank agarawal,Mayank Dagar
mayank dagar,Mayank Dagar
mustafizur rahman,Mustafizur Rahman
daryl mitchell,DJ Mitchell
sameer rizvi,Sameer Rizvi
rachin ravindra,R Ravindra
shardul thakur,Arshad Khan
ricky bhui,
sumit kumar,Sumit Kumar
swastik chikara,Atharva Taide
jhye richardson,JA Richardson
shai hope,R Sai Kishore
rasikh dar salam,Rasikh Salam
kumar kushagra,Kumar Kushagra
tristan stubbs,T Stubbs
harry brook,HC Brook
kartik tyagi,Kartik Tyagi
spencer johnson,MG Johnson
manav suthar,MJ Suthar
robin minz,R Minz
sushant mishra,Ishan Kishan
azmatullah omarzai,Azmatullah Omarzai
shahrukh khan,M Shahrukh Khan
umesh yadav,Kuldeep Yadav
mujeeb ur rahman,Mujeeb Ur Rahman
gus atkinson,JL Pattinson
angkrish raghuvanshi,A Raghuvanshi
sherfane rutherford,SE Rutherford
ramandeep singh,Ramandeep Singh
srikar bharat,KS Bharat
chetan sakariya,C Sakariya
sakib hussain,Gulbadin Naib
ashton turner,AJ Turner
david willey,DJ Willey
manimaran siddharth,M Siddharth
shivam mavi,Shivam Mavi
arshin kulkarni,DS Kulkarni
arshad khan,Arshad Khan
dilshan madushanka,Ishan Kishan
shreyas gopal,S Gopal
shivalik sharma,Shivam Sharma
anshul kamboj,A Kamboj
mohammad nabi,Mohammad Nabi
naman dhir,Naman Dhir
nuwan thushara,N Thushara
gerald coetzee,G Coetzee
chris woakes,CR Woakes
tanay thyagarajan,T Natarajan
vishwanath singh,Virat Singh
ashutosh sharma,Ashutosh Sharma
shashank singh,Shashank Singh
rilee rossouw,RR Rossouw
prince choudhary,Mukesh Choudhary
harshal patel,YS Chahal
shubham dubey,Harsh Dubey
rovman powell,R Powell
abid mushtaq,
nandre burger,N Burger
tom kohler-cadmore,T Kohler-Cadmore
lockie ferguson,LH Ferguson
tom curran,TK Curran
saurav chauhan,Saurav Chauhan
alzarri joseph,AS Joseph
swapnil singh,Swapnil Singh
yash dayal,Yash Dayal
jhatavedh subramanyan,Suryansh Shedge
akash maharaj singh,Akash Singh
jaydev unadkat,JD Unadkat
wanindu hasaranga,Atharva Taide
pat cummins,PJ Cummins
travis head,Suryansh Shedge
ravichandran ashwin,R Ravindra
devon conway,DP Conway
khaleel ahmed,Shahbaz Ahmed
rachin ravindra,R Ravindra
anshul kamboj,A Kamboj
rahul tripathi,RA Tripathi
sam curran,TK Curran
gurjapneet singh,Anureet Singh
nathan ellis,IK Pathan
jamie overton,J Overton
vijay shankar,V Shankar
vansh bedi,Harsh Dubey
andre siddarth c,M Siddharth
shreyas gopal,S Gopal
ramakrishna ghosh,Ashutosh Sharma
kamlesh nagarkoti,KL Nagarkoti
mukesh choudhary,Mukesh Choudhary
shaik rasheed,SK Rasheed
kl rahul,KL Rahul
jake fraser-mcgurk,J Fraser-McGurk
mukesh kumar,Mukesh Kumar
harry brook,HC Brook
ashutosh sharma,Ashutosh Sharma
mohit sharma,Ankit Sharma
faf du plessis,F du Plessis
sameer rizvi,Sameer Rizvi
donovan ferreira,D Ferreira
dushmantha chameera,PVD Chameera
vipraj nigam,Yuvraj Singh
karun nair,Imran Tahir
madhav tiwari,M Tiwari
tripurana vijay,
manvanth kumar l,R Vinay Kumar
ajay jadav mandal,R Sanjay Yadav
darshan nalkande,DG Nalkande
jos buttler,JC Buttler
kagiso rabada,K Rabada
prasidh krishna,M Prasidh Krishna
washington sundar,Washington Sundar
sherfane rutherford,SE Rutherford
gerald coetzee,G Coetzee
glenn phillips,GD Phillips
ravisrinivasan sai kishore,R Sai Kishore
mahipal lomror,MK Lomror
gurnoor brar,Gurnoor Brar
arshad khan,Arshad Khan
karim janat,Karim Janat
jayant yadav,R Sanjay Yadav
ishant sharma,Abhishek Sharma
kumar kushagra,Kumar Kushagra
kulwant khejroliya,K Khejroliya
manav suthar,MJ Suthar
anuj rawat,Anuj Rawat
nishant sindhu,M Prasidh Krishna
venkatesh iyer,
anrich nortje,A Nortje
quinton de kock,
angkrish raghuvanshi,A Raghuvanshi
spencer johnson,MG Johnson
moeen ali,Umran Malik
rahmanullah gurbaz,Rahmanullah Gurbaz
vaibhav arora,
ajinkya rahane,Umran Malik
rovman powell,R Powell
umran malik,Umran Malik
anukul roy,S Kaul
luvnith sisodia,
mayank markande,Mayank Dagar
rishabh pant,Ishan Kishan
avesh khan,Avesh Khan
akash deep,Akash Deep
david miller,DA Miller
abdul samad,Abdul Samad
mitchell marsh,DJ Mitchell
shahbaz ahmed,Shahbaz Ahmed
aiden markram,AK Markram
matthew breetzke,MP Breetzke
shamar joseph,Ashutosh Sharma
manimaran siddharth,M Siddharth
arshin kulkarni,DS Kulkarni
rs hangargekar,RS Hangargekar
yuvraj chaudhary,Saurav Chauhan
prince yadav,Prince Yadav
akash maharaj singh,Akash Singh
digvesh singh,Akash Singh
himmat singh,Simarjeet Singh
aryan juyal,Suyash Sharma
deepak chahar,DL Chahar
will jacks,WG Jacks
naman dhir,Naman Dhir
am ghazanfar,
mitchell santner,MJ Santner
ryan rickelton,RD Rickelton
lizaad williams,LB Williams
reece topley,RJW Topley
robin minz,R Minz
karn sharma,Sandeep Sharma
vignesh puthur,V Puthur
arjun tendulkar,Arjun Tendulkar
bevon jacobs,
penmetsa raju,
raj bawa,KA Maharaj
krishnan shrijith,M Prasidh Krishna
ashwani kumar,Ashwani Kumar
yuzvendra chahal,Saurav Chauhan
arshdeep singh,Arshdeep Singh
marcus stoinis,MP Stoinis
marco jansen,M Jansen
priyansh arya,Priyansh Arya
josh inglis,JP Inglis
azmatullah omarzai,Azmatullah Omarzai
lockie ferguson,LH Ferguson
vijaykumar vyshak,Vijaykumar Vyshak
yash thakur,Yash Thakur
aaron hardie,F Behardien
vishnu vinod,Vishnu Vinod
xavier bartlett,XC Bartlett
praveen dubey,P Dubey
pyla avinash,S Badrinath
suryansh shedge,Suryansh Shedge
musheer khan,Musheer Khan
tushar deshpande,TU Deshpande
wanindu hasaranga,Atharva Taide
maheesh theekshana,M Theekshana
nitish rana,M Pathirana
fazalhaq farooqi,Fazalhaq Farooqi
kwena maphaka,KT Maphaka
akash madhwal,Akash Madhwal
vaibhav suryavanshi,V Suryavanshi
shubham dubey,Harsh Dubey
yudhvir singh charak,Yuvraj Singh
ashok sharma,Abhishek Sharma
kunal singh rathore,Harpreet Singh
josh hazlewood,JR Hazlewood
philip salt,GD Phillips
jitesh sharma,Abhishek Sharma
bhuvneshwar kumar,Ashwani Kumar
liam livingstone,LS Livingstone
rasikh dar salam,Rasikh Salam
krunal pandya,KH Pandya
tim david,Shivam Mavi
jacob bethell,JG Bethell
suyash sharma,Suyash Sharma
devdutt padikkal,D Padikkal
nuwan thushara,N Thushara
romario shepherd,R Shepherd
lungi ngidi,L Ngidi
swapnil singh,Swapnil Singh
mohit rathee,Mohit Rathee
abhinandan singh,Harbhajan Singh
swastik chikara,Atharva Taide
manoj bhandage,MS Bhandage
ishan kishan,Ishan Kishan
mohammed shami,Mohammed Shami
harshal patel,YS Chahal
abhinav manohar,A Manohar
rahul chahar,DL Chahar
adam zampa,A Zampa
simarjeet singh,Simarjeet Singh
eshan malinga,E Malinga
brydon carse,Harsh Dubey
jaydev unadkat,JD Unadkat
kamindu mendis,BKG Mendis
zeeshan ansari,Zeeshan Ansari
sachin baby,Sachin Baby
aniket verma,Aniket Verma
atharva taide,Atharva Taide
