season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2017,P Negi,Royal Challengers Bengaluru,83,55,150.91,5,5,18.18,19,34.55,0.3511425644097784,0.3227848134455811,0.3162337990795488,0.6698407593852012,0.2692402942203976,0.5879972925377059,death,P Negi,2017,15598002.096,3.769696201595548,0.06975618441750094
2014,Yuvraj Singh,Royal Challengers Bengaluru,117,50,234.0,4,14,36.0,20,40.0,0.3630879907214729,0.7123681892997843,0.6913295230232923,0.7458203774683266,0.5557251931467275,0.8744821914640359,death,Yuvraj Singh,2014,271182573.718,0.3224699063345424,0.0034897722422669373
2021,KA Jamieson,Royal Challengers Bengaluru,45,30,150.0,4,2,20.0,8,26.67,0.1377243194906577,0.3514538652190305,0.3579067159853011,0.4833281987022843,0.199947123516718,0.5187041218340265,death,KA Jamieson,2021,198917487.645,0.2607634592488603,0.0023035823881020325
2014,AJ Finch,Sunrisers Hyderabad,55,37,148.65,4,3,18.92,10,27.03,0.1490917233494801,0.3246373808830851,0.3271483685056999,0.5277407184382875,0.1686402922975216,0.48739729061483,death,AJ Finch,2014,77480735.34799999,0.6290560981716486,0.009383312501994735
2016,Yuvraj Singh,Sunrisers Hyderabad,46,26,176.92,5,3,30.77,9,34.62,0.1558836153546217,0.4021442415720551,0.5230532399543222,0.7307632314058532,0.1903896924936803,0.5091466908109887,death,Yuvraj Singh,2016,114547047.993,0.4444869594911803,0.005835319544456161
2018,Washington Sundar,Royal Challengers Bengaluru,52,22,236.36,4,4,36.36,5,22.73,0.1298467052761663,0.5661014728450949,0.5538328588250981,0.5041973665486854,0.3513990116715357,0.6701560099888442,death,Washington Sundar,2018,47755077.216,1.4033188700704544,0.024267051363327803
2014,M Manhas,Chennai Super Kings,25,13,192.31,2,1,23.08,3,23.08,0.045545142363032,0.5229774757333849,0.4158482281540127,0.4613247852718529,0.2381494060945806,0.556906404411889,death,M Manhas,2014,5811055.151099999,9.583567698655722,0.1815168789468005
2013,MC Henriques,Royal Challengers Bengaluru,76,42,180.95,11,2,30.95,13,30.95,0.2394602010189119,0.4443461467947698,0.5136143942186872,0.5774437505821982,0.3368480522452413,0.6556050505625497,death,MC Henriques,2013,36939715.38564,1.7747972438829631,0.03140802121119835
2017,KV Sharma,Mumbai Indians,26,15,173.33,4,1,33.33,6,40.0,0.0462742949601496,0.4010683142227578,0.5384897306713532,0.7613248123338066,0.0945705873473819,0.4133275856646903,death,KV Sharma,2017,49913606.707200006,0.8280859928422445,0.013209286170612422
2018,SW Billings,Chennai Super Kings,49,26,188.46,3,3,23.08,4,15.38,0.1177735354539232,0.4095906283608045,0.3625135447304809,0.3900130324531491,0.2517629929814254,0.5705199912987338,death,SW Billings,2018,14923461.63,3.822973552944591,0.07078034083245806
2025,M Shahrukh Khan,Gujarat Titans,64,34,188.24,2,5,20.59,6,17.65,0.1655382555943474,0.3975075133187389,0.2850309775894779,0.3778293692069256,0.2655619067289206,0.584318905046229,death,M Shahrukh Khan,2025,3148500.0000000005,18.55864395890833,0.3540457621198229
2016,TG Southee,Mumbai Indians,27,14,192.86,1,2,21.43,3,21.43,0.0550143618650761,0.4796806562047828,0.3492443718602798,0.4523470840273667,0.2076862955415896,0.526443293858898,death,TG Southee,2016,40909659.9975,1.2868434836443745,0.022028032133348335
2016,MP Stoinis,Punjab Kings,43,23,186.96,5,1,26.09,4,17.39,0.1399568911194303,0.4509814814034596,0.435962715042104,0.3670702655733041,0.3214169618805835,0.640173960197892,death,MP Stoinis,2016,9000125.19945,7.112945053664512,0.1340238267072293
2019,SE Rutherford,Delhi Capitals,47,24,195.83,2,5,29.17,7,29.17,0.1406232825446556,0.4732759222743521,0.4803056967676693,0.5793270134075673,0.2614974908401745,0.5802544891574828,death,SE Rutherford,2019,28885051.06,2.0088401019343145,0.035907052945674714
2025,LS Livingstone,Royal Challengers Bengaluru,37,13,284.62,1,5,46.15,4,30.77,0.0479189687246795,0.7225617175546135,0.6754363320972008,0.5870266699251031,0.3674362654161693,0.6861932637334778,death,LS Livingstone,2025,91831250.0,0.747232846915922,0.011655037207907651
2019,SM Curran,Punjab Kings,65,29,224.14,9,2,37.93,6,20.69,0.1938423292030737,0.5788771814652214,0.6347468113028972,0.4304239948908832,0.4627668995295855,0.7815238978468939,death,SM Curran,2019,103986183.816,0.7515651302578558,0.011738317169536844
2020,MP Stoinis,Delhi Capitals,99,55,180.0,10,4,25.45,9,16.36,0.3171006357652102,0.4186162144603602,0.4144708992027546,0.3561043814799725,0.4448881330111857,0.763645131328494,death,MP Stoinis,2020,66689872.5744,1.145069111470505,0.0193026877034587
2022,Q de Kock,Lucknow Super Giants,54,17,317.65,5,4,52.94,1,5.88,0.1500398877140231,0.8966865346146272,0.8402191773189589,0.2131763341690387,0.7351703970066042,1.0539273953239126,death,Q de Kock,2022,83955045.429,1.2553472991866927,0.0214225774975186
