season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2024,Atharva Taide,Punjab Kings,18,9,200.00,2,1,33.33,2,22.22
2017,SR Watson,Royal Challengers Bengaluru,40,43,93.02,2,1,6.98,16,37.21
2023,MD Shanaka,Gujarat Titans,17,18,94.44,1,1,11.11,10,55.56
2015,Azhar Mahmood,Kolkata Knight Riders,4,4,100.00,1,0,25.00,3,75.00
2017,PA Patel,Mumbai Indians,73,65,112.31,7,1,12.31,20,30.77
2018,SN Khan,Royal Challengers Bengaluru,14,18,77.78,2,0,11.11,10,55.56
2016,KJ Abbott,Punjab Kings,0,1,0.00,0,0,0.00,1,100.00
2018,MA Agarwal,Punjab Kings,64,51,125.49,3,3,11.76,14,27.45
2019,KD Karthik,Kolkata Knight Riders,131,105,124.76,12,5,16.19,36,34.29
2014,JH Kallis,Kolkata Knight Riders,87,61,142.62,6,3,14.75,16,26.23
2021,DR Sams,Royal Challengers Bengaluru,3,4,75.00,0,0,0.00,2,50.00
2020,NS Naik,Kolkata Knight Riders,1,1,100.00,0,0,0.00,0,0.00
2020,AT Rayudu,Chennai Super Kings,246,191,128.80,18,9,14.14,56,29.32
2022,PJ Cummins,Kolkata Knight Riders,60,17,352.94,5,6,64.71,4,23.53
2024,Ramandeep Singh,Kolkata Knight Riders,65,36,180.56,2,6,22.22,11,30.56
2024,V Shankar,Gujarat Titans,41,36,113.89,3,1,11.11,10,27.78
2017,A Zampa,Lucknow Super Giants,5,7,71.43,1,0,14.29,5,71.43
2023,Naveen-ul-Haq,Lucknow Super Giants,2,6,33.33,0,0,0.00,4,66.67
2020,JM Bairstow,Sunrisers Hyderabad,152,107,142.06,10,7,15.89,31,28.97
2021,RM Patidar,Royal Challengers Bengaluru,48,35,137.14,1,3,11.43,7,20.00
2015,DA Miller,Punjab Kings,221,186,118.82,17,8,13.44,63,33.87
2017,SK Raina,Gujarat Titans,239,165,144.85,21,7,16.97,34,20.61
2015,SA Yadav,Kolkata Knight Riders,76,70,108.57,5,3,11.43,26,37.14
2015,B Kumar,Sunrisers Hyderabad,0,1,0.00,0,0,0.00,1,100.00
2021,JC Buttler,Rajasthan Royals,92,49,187.76,7,6,26.53,14,28.57
2023,MM Ali,Chennai Super Kings,65,51,127.45,7,2,17.65,19,37.25
2018,Ishan Kishan,Mumbai Indians,215,113,190.27,18,14,28.32,32,28.32
2020,PP Shaw,Delhi Capitals,59,34,173.53,4,4,23.53,9,26.47
2021,KS Bharat,Royal Challengers Bengaluru,87,70,124.29,5,3,11.43,18,25.71
2018,KD Karthik,Kolkata Knight Riders,284,216,131.48,26,6,14.81,59,27.31
2015,JP Faulkner,Rajasthan Royals,67,56,119.64,6,2,14.29,22,39.29
2017,Swapnil Singh,Punjab Kings,10,17,58.82,0,0,0.00,8,47.06
2014,CM Gautam,Mumbai Indians,20,25,80.00,0,1,4.00,13,52.00
2022,D Padikkal,Rajasthan Royals,239,182,131.32,21,12,18.13,70,38.46
2017,SS Iyer,Delhi Capitals,237,156,151.92,25,7,20.51,39,25.00
2013,RN ten Doeschate,Kolkata Knight Riders,49,40,122.50,4,1,12.50,9,22.50
2022,Abdul Samad,Sunrisers Hyderabad,4,6,66.67,0,0,0.00,2,33.33
2013,MS Bisla,Kolkata Knight Riders,62,49,126.53,6,2,16.33,16,32.65
2021,MK Lomror,Rajasthan Royals,77,49,157.14,3,6,18.37,13,26.53
2017,MK Pandey,Kolkata Knight Riders,260,207,125.60,19,6,12.08,51,24.64
2018,MK Lomror,Rajasthan Royals,6,6,100.00,0,0,0.00,2,33.33
2018,STR Binny,Rajasthan Royals,24,25,96.00,2,0,8.00,10,40.00
2015,J Suchith,Mumbai Indians,16,13,123.08,2,1,23.08,8,61.54
2018,Abhishek Sharma,Delhi Capitals,6,8,75.00,1,0,12.50,5,62.50
2016,N Rana,Mumbai Indians,83,51,162.75,5,7,23.53,21,41.18
2024,Harpreet Singh,Punjab Kings,6,7,85.71,0,0,0.00,2,28.57
2025,RA Tripathi,Chennai Super Kings,12,17,70.59,1,0,5.88,7,41.18
2025,V Suryavanshi,Rajasthan Royals,101,40,252.50,6,10,40.00,8,20.00
2015,PP Chawla,Kolkata Knight Riders,22,19,115.79,1,1,10.53,6,31.58
2024,Anuj Rawat,Royal Challengers Bengaluru,47,51,92.16,4,0,7.84,17,33.33
2023,N Wadhera,Mumbai Indians,154,109,141.28,12,8,18.35,35,32.11
2024,Sanvir Singh,Sunrisers Hyderabad,0,1,0.00,0,0,0.00,1,100.00
2013,V Sehwag,Delhi Capitals,79,53,149.06,11,2,24.53,16,30.19
2018,DT Christian,Delhi Capitals,7,13,53.85,0,0,0.00,6,46.15
2016,P Negi,Delhi Capitals,24,28,85.71,0,2,7.14,16,57.14
2018,KK Nair,Punjab Kings,196,151,129.80,12,8,13.25,43,28.48
2022,MP Stoinis,Lucknow Super Giants,45,44,102.27,1,3,9.09,17,38.64
2018,JJ Roy,Delhi Capitals,33,21,157.14,1,2,14.29,4,19.05
2021,JDS Neesham,Mumbai Indians,0,1,0.00,0,0,0.00,1,100.00
2018,AS Rajpoot,Punjab Kings,1,5,20.00,0,0,0.00,4,80.00
2025,JM Bairstow,Mumbai Indians,2,2,100.00,0,0,0.00,1,50.00
2016,SN Khan,Royal Challengers Bengaluru,9,8,112.50,1,0,12.50,3,37.50
2022,T Stubbs,Mumbai Indians,1,1,100.00,0,0,0.00,0,0.00
2016,R Ashwin,Lucknow Super Giants,27,17,158.82,3,0,17.65,1,5.88
2015,NV Ojha,Sunrisers Hyderabad,102,90,113.33,9,2,12.22,35,38.89
2022,TH David,Mumbai Indians,72,40,180.00,8,3,27.50,11,27.50
