season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2014,DJG Sammy,Sunrisers Hyderabad,2,66,11.91,15,22.73,18,27.27,0.1281635251043781,0.4619748400892985,0.3176364095668596,0.3872203650812029,-0.1594877345610543,0.7685173540364629,middle,DJG Sammy,2014,67795643.4295,1.1335792613807647,0.011270658098825747
2014,DR Smith,Chennai Super Kings,4,54,10.22,13,24.07,12,22.22,0.2306653096062412,0.3915846406765537,0.3327249774051171,0.3186521738439093,0.068817310320872,0.9968223989183892,middle,DR Smith,2014,87165827.2665,1.1435931146167106,0.011370221243564911
2014,DS Kulkarni,Rajasthan Royals,1,36,9.0,9,25.0,7,19.44,0.0769126328534465,0.3407704138815545,0.3431968938898779,0.2809057240142705,-0.1104694584609645,0.8175356301365527,middle,DS Kulkarni,2014,21307202.2207,3.8368980669940553,0.03814851572042813
2014,HV Patel,Royal Challengers Bengaluru,1,36,10.5,11,30.56,9,25.0,0.0769126328534465,0.4032469222360618,0.4058031902933942,0.3563986236735482,-0.156767356155371,0.7712377324421462,middle,HV Patel,2014,7748073.5348,9.953928921533578,0.09896734479595863
2014,I Sharma,Sunrisers Hyderabad,1,42,9.43,15,35.71,8,19.05,0.0769126328534465,0.3586803462765133,0.4637928353434138,0.2756103587504003,-0.0875595488880967,0.8404455397094205,middle,I Sharma,2014,50362477.9762,1.668793064762606,0.01659204319574548
2014,IC Pandey,Chennai Super Kings,2,72,7.42,25,34.72,12,16.67,0.1281635251043781,0.2749618250814736,0.4526453113435071,0.2432950527811411,0.0594104104382121,0.9874154990357294,middle,IC Pandey,2014,29055275.7555,3.398403468426271,0.033788765267143056
2014,IK Pathan,Sunrisers Hyderabad,1,84,8.79,23,27.38,15,17.86,0.0769126328534465,0.3320237027119235,0.3699959919906637,0.2594527057657706,-0.091141756445324,0.8368633321521932,middle,IK Pathan,2014,46488441.2088,1.800153565901409,0.017898100342753007
2014,Iqbal Abdulla,Rajasthan Royals,0,6,9.0,1,16.67,1,16.67,0.025661740602515,0.3407704138815545,0.2494000505371278,0.2432950527811411,-0.207962715596561,0.7200423730009563,middle,Iqbal Abdulla,2014,12590619.49405,5.718879625750184,0.05686019422379016
2014,JD Unadkat,Delhi Capitals,3,54,7.44,16,29.63,7,12.96,0.1794144173553096,0.275794845192867,0.3953312738086333,0.1929211934761194,0.1285008933260369,1.0565059819235545,middle,JD Unadkat,2014,54236514.7436,1.9479606809510632,0.01936767862020783
2014,JDS Neesham,Delhi Capitals,1,36,9.33,10,27.78,7,19.44,0.0769126328534465,0.3545152457195462,0.374500042091636,0.2809057240142705,-0.1120743794708304,0.8159307091266869,middle,JDS Neesham,2014,19370183.837,4.212302350833321,0.04188098814307392
2014,JH Kallis,Kolkata Knight Riders,2,84,8.86,21,25.0,16,19.05,0.1281635251043781,0.3349392731018005,0.3431968938898779,0.2756103587504003,-0.0278691344079899,0.9001359541895273,middle,JH Kallis,2014,106536011.1035,0.8449123867750624,0.008400575909623939
