season,player,runs,price,price_per_run
2025,Abhishek Sharma,439,38000000,86560.36
2025,PD Salt,403,115000000,285359.8
2025,AM Rahane,390,15000000,38461.54
2025,RD Rickelton,388,10000000,25773.2
2025,Ishan Kishan,354,112500000,317796.61
2025,A Raghuvanshi,300,30000000,100000.0
2025,SE Rutherford,291,26000000,89347.08
2025,JP Inglis,278,26000000,93525.18
2025,RR Pant,269,270000000,1003717.47
2025,JM Sharma,261,110000000,421455.94
2025,Naman Dhir,252,52500000,208333.33
2025,V Suryavanshi,252,11000000,43650.79
2025,D Padikkal,247,20000000,80971.66
2025,Aniket Verma,236,3000000,12711.86
2025,WG Jacks,233,52500000,225321.89
2025,N Rana,217,42000000,193548.39
2025,F du Plessis,202,20000000,99009.9
2025,KK Nair,198,5000000,25252.53
2025,R Ravindra,191,40000000,209424.08
2025,TH David,187,30000000,160427.81
2025,M Shahrukh Khan,179,3000000,16759.78
2025,Abdul Samad,164,42000000,256097.56
2025,MP Stoinis,160,110000000,687500.0
2025,DP Conway,156,62500000,400641.03
2025,DA Miller,153,75000000,490196.08
2025,Q de Kock,152,36000000,236842.11
